time_stamp,song,artist
2023-01-03 22:12:59,Yah-Mo Be There,James Ingram
2023-01-03 22:14:11,Sara Smile,Daryl Hall/John Oates
2023-01-03 22:17:48,Jackie Blue,Ozark Mountain Daredevils
2023-01-03 22:20:47,Rosanna,Toto
2023-01-03 22:23:45,Magnet And Steel,Walter Egan
2023-01-03 22:27:55,I Can't Tell You Why,Eagles
2023-01-03 22:32:40,Moonlight Feels Right,Starbuck
2023-01-03 22:35:39,Drift Away,Dobie Gray
2023-01-03 22:39:50,Dance With Me,Orleans
2023-01-03 22:42:47,Key Largo,Bertie Higgins
2023-01-03 22:46:59,Sailing,Christopher Cross
2023-01-03 22:50:34,So In To You,Atlanta Rhythm Section
2023-01-03 22:54:43,Breezin',George Benson
2023-01-03 23:00:43,Hey Nineteen,Steely Dan
2023-01-03 23:04:53,Heart To Heart,Kenny Loggins
2023-01-03 23:09:39,I Can't Go For That (No Can Do),Hall/Oates
2023-01-03 23:14:26,I Go Crazy,Paul Davis
2023-01-03 23:18:01,I'm Not In Love,10cc
2023-01-03 23:21:00,Couldn't Get It Right,Climax Blues Band
2023-01-03 23:24:34,Caribbean Queen,Billy Ocean
2023-01-03 23:27:32,Takin' It To The Streets,Doobie Brothers
2023-01-03 23:32:17,Wildfire,Michael Martin Murphey
2023-01-03 23:34:41,Rock The Boat,Hues Corporation
2023-01-03 23:37:39,Straight Back,Fleetwood Mac
2023-01-03 23:41:49,Still The One,Orleans
2023-01-03 23:45:24,Can We Still Be Friends?,Robert Palmer
2023-01-03 23:49:35,Africa,Toto
2023-01-03 23:52:33,Never Be The Same,Christopher Cross
2023-01-03 23:57:57,Baby I'm A Want You,Bread
2023-01-04 00:00:56,Somebody's Baby,Jackson Browne
2023-01-04 00:03:19,Into The Night,Benny Mardones
2023-01-04 00:08:41,Sister Golden Hair,America
2023-01-04 00:11:40,"My Girl (Gone, Gone, Gone)",Chilliwack
2023-01-04 00:15:14,I Keep Forgettin' (82),Michael McDonald
2023-01-04 00:19:24,Take It Uptown,Bill Champlin
2023-01-04 00:23:34,Whatcha Gonna Do,Pablo Cruise
2023-01-04 00:27:10,Dance With Me,Orleans
2023-01-04 00:29:32,How 'Bout Us,Champaign
2023-01-04 00:33:08,Sara Smile,Daryl Hall/John Oates
2023-01-04 00:35:32,Right Down The Line,Gerry Rafferty
2023-01-04 00:39:43,Gypsy,Fleetwood Mac
2023-01-04 00:44:29,Sailing,Christopher Cross
2023-01-04 00:48:40,Thunder Island,Jay Ferguson
2023-01-04 00:52:14,Rosanna,Toto
2023-01-04 00:55:13,Danny's Song,Loggins/Messina
2023-01-04 01:00:00,Lido Shuffle,Boz Scaggs
2023-01-04 01:02:58,I Can't Tell You Why,Eagles
2023-01-04 01:08:21,Give Me the Night,George Benson
2023-01-04 01:11:19,Keep On Loving You,REO Speedwagon
2023-01-04 01:15:29,Hey Nineteen,Steely Dan
2023-01-04 01:19:39,Coconut,Harry Nilsson
2023-01-04 01:23:48,Takin' It To The Streets,Doobie Brothers
2023-01-04 01:27:22,Feels So Good,Chuck Mangione
2023-01-04 01:30:21,Hello It's Me,Todd Rundgren
2023-01-04 01:33:57,Make It With You,Bread
2023-01-04 01:36:56,Even The Nights Are Better,Air Supply
2023-01-04 01:41:43,Dream Weaver,Gary Wright
2023-01-04 01:45:19,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2023-01-04 01:48:18,I Really Don't Know Anymore,Christopher Cross
2023-01-04 01:51:54,You Are The Woman,Firefall
2023-01-04 01:54:52,Sail On,Commodores
2023-01-04 01:58:25,Africa,Toto
2023-01-04 02:02:34,Vahevala,Loggins/Messina
2023-01-04 02:06:45,Cool Night,Paul Davis
2023-01-04 02:10:19,Georgia,Boz Scaggs
2023-01-04 02:14:27,Every Kinda People,Robert Palmer
2023-01-04 02:17:25,Summer Breeze,Seals/Crofts
2023-01-04 02:20:57,On And On,Stephen Bishop
2023-01-04 02:23:18,Amie,Pure Prairie League
2023-01-04 02:28:41,Dreadlock Holiday,10cc
