time_stamp,song,artist
2023-01-01 13:43:17,I Believe In Love,Kenny Loggins
2023-01-01 13:46:54,Moonlight Feels Right,Starbuck
2023-01-01 13:49:52,Any Major Dude Will Tell You,Steely Dan
2023-01-01 13:53:27,Drift Away,Dobie Gray
2023-01-01 13:57:01,Summer Breeze,Seals/Crofts
2023-01-01 14:00:36,Key Largo,Bertie Higgins
2023-01-01 14:04:10,Breezin',George Benson
2023-01-01 14:10:07,Amie,Pure Prairie League
2023-01-01 14:13:42,Heart Of The Night,Poco
2023-01-01 14:18:28,Baker Street,Gerry Rafferty
2023-01-01 14:24:25,Dreadlock Holiday,10cc
2023-01-01 14:29:10,Yah-Mo Be There,James Ingram
2023-01-01 14:32:45,Georgy Porgy,Toto/Cheryl Lynn
2023-01-01 14:38:42,I Just Wanna Stop,Gino Vanelli
2023-01-01 14:41:05,Heart Hotels,Dan Fogelberg
2023-01-01 14:45:50,Lowdown,Boz Scaggs
2023-01-01 14:50:38,"Whenever I Call You ""Friend""",Kenny Loggins/Stevie Nicks
2023-01-01 14:55:24,Ride Like The Wind,Christopher Cross
2023-01-01 14:58:00,I Go Crazy,Paul Davis
2023-01-01 15:02:13,Hey Nineteen,Steely Dan
2023-01-01 15:06:59,I Love You,Climax Blues Band
2023-01-01 15:11:11,How Much I Feel,Ambrosia
2023-01-01 15:14:45,Oriental Gate,Sanford Townsend Band
2023-01-01 15:18:53,Dance With Me,Orleans
2023-01-01 15:22:29,You're Out To Lose,Pablo Cruise
2023-01-01 15:25:26,Sara Smile,Daryl Hall/John Oates
2023-01-01 15:28:24,"Who's Right, Who's Wrong?",Pages
2023-01-01 15:32:36,I Can't Tell You Why,Eagles
2023-01-01 15:37:57,Caribbean Queen,Billy Ocean
2023-01-01 15:40:57,You Can Do Magic,America
2023-01-01 15:43:55,I'm Not In Love,10cc
2023-01-01 15:48:41,I Keep Forgettin' (82),Michael McDonald
2023-01-01 15:52:15,99,Toto
2023-01-01 15:57:35,Into The Night,Benny Mardones
2023-01-01 16:02:21,Diamond Girl,Seals/Crofts
2023-01-01 16:05:19,Heart To Heart,Kenny Loggins
2023-01-01 16:10:42,Jojo,Boz Scaggs
2023-01-01 16:16:40,Sailing,Christopher Cross
2023-01-01 16:20:49,Afternoon Delight,Starland Vocal Band
2023-01-01 16:24:58,Right Down The Line,Gerry Rafferty
2023-01-01 16:27:56,Wildfire,Michael Martin Murphey
2023-01-01 16:32:07,I Can't Go For That (No Can Do),Hall/Oates
2023-01-01 16:35:08,Rock The Boat,Hues Corporation
2023-01-01 16:38:07,Can We Still Be Friends?,Robert Palmer
2023-01-01 16:41:06,Sister Golden Hair,America
2023-01-01 16:45:16,Cool Change,Little River Band
2023-01-01 16:48:51,Devil Woman,Cliff Richard
2023-01-01 16:52:26,You Make Loving Fun,Fleetwood Mac
2023-01-01 16:55:25,When You're In Love With..,Dr. Hook
2023-01-01 16:58:58,Sweet Freedom,Michael McDonald
2023-01-01 17:02:32,Somebody's Baby,Jackson Browne
2023-01-01 17:06:41,I'll Be Over You,Toto
2023-01-01 17:10:15,Peg,Steely Dan
2023-01-01 17:14:25,Whatcha Gonna Do,Pablo Cruise
2023-01-01 17:18:00,All Out Of Love,Air Supply
2023-01-01 17:22:10,Just The Two Of Us,Grover Washington Jr.
2023-01-01 17:25:45,I'm Alright,Kenny Loggins
2023-01-01 17:28:45,Dream Weaver,Gary Wright
2023-01-01 17:32:55,Lido Shuffle,Boz Scaggs
2023-01-01 17:36:31,Kiss On My List,Daryl Hall/John Oates
2023-01-01 17:40:41,We're In This Love Together,Al Jarreau
2023-01-01 17:44:50,"My Girl (Gone, Gone, Gone)",Chilliwack
2023-01-01 17:48:22,Ventura Highway,America
2023-01-01 17:52:32,On And On,Stephen Bishop
2023-01-01 17:54:18,Give Me the Night,George Benson
2023-01-01 17:57:14,Jackie Blue,Ozark Mountain Daredevils
2023-01-01 18:01:21,Make It With You,Bread
2023-01-01 18:05:28,Better Love Next Time,Dr. Hook
2023-01-01 18:08:26,Listen To The Music,Doobie Brothers
2023-01-01 18:11:24,Big Love,Fleetwood Mac
2023-01-01 18:14:21,Arthur's Theme,Christopher Cross
2023-01-01 18:19:04,Every Kinda People,Robert Palmer
2023-01-01 18:22:01,Do It Again,Steely Dan
2023-01-01 18:27:52,Just Another Day In Paradise,Bertie Higgins
2023-01-01 18:32:00,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2023-01-01 18:34:57,I Gotta Try,Michael McDonald
2023-01-01 18:37:54,What You Won't Do For Love,Bobby Caldwell
2023-01-01 18:42:02,Lotta Love,Nicolette Larson
2023-01-01 18:45:36,She's Gone,Daryl Hall/John Oates
2023-01-01 18:49:09,All Night Long (All Night),Lionel Richie
2023-01-01 18:52:41,I Can't Tell You Why,Eagles
2023-01-01 18:58:00,WKRP In Cincinnati (Main Theme),Steve Carlisle
2023-01-01 19:00:21,Dance With Me,Orleans
2023-01-01 19:04:29,A Horse With No Name,America
2023-01-01 19:07:27,Just Remember I Love You,Firefall
2023-01-01 19:11:33,"Baby, What A Big Surprise",Chicago
2023-01-01 19:14:31,So In To You,Atlanta Rhythm Section
2023-01-01 19:18:40,Everywhere,Fleetwood Mac
2023-01-01 19:22:12,Sexy Eyes,Dr. Hook
2023-01-01 19:24:33,Takin' It To The Streets,Doobie Brothers
2023-01-01 19:28:40,Please Come To Boston,Dave Loggins
2023-01-01 19:32:12,All Right,Christopher Cross
2023-01-01 19:36:19,This Is It,Kenny Loggins
2023-01-01 19:41:38,Magic,Olivia Newton-John
2023-01-01 19:44:37,Couldn't Get It Right,Climax Blues Band
2023-01-01 19:46:58,Year Of The Cat,Al Stewart
2023-01-01 19:52:51,You Make My Dreams Come True,Hall and Oates
2023-01-01 19:55:47,Southern Cross,"Crosby, Stills & Nash"
2023-01-01 20:00:30,Show And Tell,Al Wilson
2023-01-01 20:04:38,Still The One,Orleans
2023-01-01 20:07:35,Escape (The Pina Colada Song),Rupert Holmes
2023-01-01 20:11:43,Take It Uptown,Bill Champlin
2023-01-01 20:15:51,Dirty Work,Steely Dan
2023-01-01 20:18:50,Spooky,Atlanta Rhythm Section
2023-01-01 20:23:33,Biggest Part Of Me,Ambrosia
2023-01-01 20:27:44,Heart Of The Night,Poco
2023-01-01 20:32:29,It Keeps You Runnin',Doobie Brothers
2023-01-01 20:36:35,Steal Away,Robbie Dupree
2023-01-01 20:40:09,Never Be The Same,Christopher Cross
2023-01-01 20:44:17,I Believe In Love,Kenny Loggins
2023-01-01 20:48:25,How Long,Ace
2023-01-01 20:51:22,I'm Not In Love,10cc
2023-01-01 20:55:30,Africa,Toto
2023-01-01 20:59:02,I Love You,Climax Blues Band
2023-01-01 21:03:13,Baby I'm A Want You,Bread
2023-01-01 21:06:12,Oriental Gate,Sanford Townsend Band
2023-01-01 21:09:11,You're Out To Lose,Pablo Cruise
2023-01-01 21:13:20,Georgia,Boz Scaggs
2023-01-01 21:16:16,"Who's Right, Who's Wrong?",Pages
2023-01-01 21:20:24,Summer Breeze,Seals/Crofts
2023-01-01 21:23:24,Into The Night,Benny Mardones
2023-01-01 21:28:58,Amie,Pure Prairie League
2023-01-01 21:32:32,Rock The Boat,Hues Corporation
2023-01-01 21:36:40,Baker Street,Gerry Rafferty
2023-01-01 21:41:26,Green Earrings,Steely Dan
2023-01-01 21:45:36,Yah-Mo Be There,James Ingram
2023-01-01 21:50:22,What a Fool Believes,Doobie Brothers
2023-01-01 21:54:31,Ride Like The Wind,Christopher Cross
2023-01-01 21:57:30,Wildfire,Michael Martin Murphey
2023-01-01 22:00:28,Rosanna,Toto
2023-01-01 22:04:00,We're In This Love Together,Al Jarreau
2023-01-01 22:08:44,Lowdown,Boz Scaggs
2023-01-01 22:12:53,When You're In Love With..,Dr. Hook
2023-01-01 22:16:26,I Can't Tell You Why,Eagles
2023-01-01 22:20:33,Every Kinda People,Robert Palmer
2023-01-01 22:24:40,I Can't Go For That (No Can Do),Hall/Oates
2023-01-01 22:28:57,"My Girl (Gone, Gone, Gone)",Chilliwack
2023-01-01 22:32:44,Dance With Me,Orleans
2023-01-01 22:34:35,You Make Me Feel Like Dancing,Leo Sayer
2023-01-01 22:37:42,Dreams,Fleetwood Mac
2023-01-01 22:40:47,Him,Rupert Holmes
2023-01-01 22:46:23,Baby Come Back,Player
