time_stamp,song,artist
2022-12-27 23:22:46,Rhiannon,Fleetwood Mac
2022-12-27 23:25:44,What a Fool Believes,Doobie Brothers
2022-12-27 23:29:18,Peg,Steely Dan
2022-12-27 23:32:17,Georgy Porgy,Toto/Cheryl Lynn
2022-12-27 23:37:41,Key Largo,Bertie Higgins
2022-12-27 23:41:16,All Out Of Love,Air Supply
2022-12-27 23:44:51,Magnet And Steel,Walter Egan
2022-12-27 23:48:27,You Are The Woman,Firefall
2022-12-27 23:50:49,Moonlight Feels Right,Starbuck
2022-12-27 23:54:24,Make It With You,Bread
2022-12-27 23:56:47,Afternoon Delight,Starland Vocal Band
2022-12-28 00:00:24,Just The Two Of Us,Grover Washington Jr.
2022-12-28 00:04:00,Any Major Dude Will Tell You,Steely Dan
2022-12-28 00:08:10,I Love You,Climax Blues Band
2022-12-28 00:11:07,Summer Breeze,Seals/Crofts
2022-12-28 00:14:46,We're In This Love Together,Al Jarreau
2022-12-28 00:18:20,This Is It,Kenny Loggins
2022-12-28 00:23:05,When You're In Love With..,Dr. Hook
2022-12-28 00:25:28,I'll Be Over You,Toto
2022-12-28 00:29:03,Amie,Pure Prairie League
2022-12-28 00:33:50,Whatcha Gonna Do,Pablo Cruise
2022-12-28 00:37:24,Baker Street,Gerry Rafferty
2022-12-28 00:42:10,Lowdown,Boz Scaggs
2022-12-28 00:48:07,I Gotta Try,Michael McDonald
2022-12-28 00:51:41,Rich Girl,Daryl Hall/John Oates
2022-12-28 00:54:04,Every Kinda People,Robert Palmer
2022-12-28 00:57:38,Brandy (You're A Fine Girl),Looking Glass
2022-12-28 01:00:01,Gypsy,Fleetwood Mac
2022-12-28 01:04:46,"My Girl (Gone, Gone, Gone)",Chilliwack
2022-12-28 01:10:08,Hey Nineteen,Steely Dan
2022-12-28 01:13:42,Cool Change,Little River Band
2022-12-28 01:17:53,"Who's Right, Who's Wrong?",Pages
2022-12-28 01:21:28,Diamond Girl,Seals/Crofts
2022-12-28 01:26:13,Devil Woman,Cliff Richard
2022-12-28 01:29:46,All Out Of Love,Air Supply
2022-12-28 01:33:58,Better Love Next Time,Dr. Hook
2022-12-28 01:36:55,Daisy Jane,America
2022-12-28 01:39:53,You're The Only Woman,Ambrosia
2022-12-28 01:42:54,You're Out To Lose,Pablo Cruise
2022-12-28 01:47:03,Jojo,Boz Scaggs
2022-12-28 01:53:01,Right Down The Line,Gerry Rafferty
2022-12-28 01:56:36,On And On,Stephen Bishop
2022-12-28 01:58:59,You Belong To Me,Doobie Brothers
2022-12-28 02:02:33,Just Another Day In Paradise,Bertie Higgins
2022-12-28 02:06:08,Give Me the Night,George Benson
2022-12-28 02:09:40,"Whenever I Call You ""Friend""",Kenny Loggins/Stevie Nicks
2022-12-28 02:13:15,Jackie Blue,Ozark Mountain Daredevils
2022-12-28 02:16:49,Arthur's Theme,Christopher Cross
2022-12-28 02:20:22,Lotta Love,Nicolette Larson
2022-12-28 02:22:46,Dream Weaver,Gary Wright
2022-12-28 02:27:30,All Night Long (All Night),Lionel Richie
2022-12-28 02:31:03,Make It With You,Bread
2022-12-28 02:34:38,"Baby, What A Big Surprise",Chicago
2022-12-28 02:38:11,Just The Two Of Us,Grover Washington Jr.
2022-12-28 02:41:45,King of the World,Steely Dan
2022-12-28 02:46:30,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2022-12-28 02:48:52,Sexy Eyes,Dr. Hook
2022-12-28 02:52:26,What You Won't Do For Love,Bobby Caldwell
2022-12-28 02:57:11,Lido Shuffle,Boz Scaggs
2022-12-28 03:00:45,Just Remember I Love You,Firefall
2022-12-28 03:04:19,A Horse With No Name,America
2022-12-28 03:07:53,Still The One,Orleans
2022-12-28 03:09:04, , 
2022-12-28 03:11:27,Playin' By The Rules,Michael McDonald
2022-12-28 03:16:12,Reminiscing,Little River Band
2022-12-28 03:19:47,Southern Cross,"Crosby, Stills & Nash"
2022-12-28 03:22:10, ,"Crosby, Stills & Nash"
2022-12-28 03:22:46,Southern Cross,"Crosby, Stills & Nash"
2022-12-28 03:24:33,So In To You,Atlanta Rhythm Section
2022-12-28 03:29:18,Into The Night,Benny Mardones
2022-12-28 03:34:04,Couldn't Get It Right,Climax Blues Band
2022-12-28 03:36:28,Wildfire,Michael Martin Murphey
2022-12-28 03:40:03,I Believe In Love,Kenny Loggins
2022-12-28 03:43:37,WKRP In Cincinnati (Main Theme),Steve Carlisle
2022-12-28 03:46:00,Escape (The Pina Colada Song),Rupert Holmes
2022-12-28 03:49:34,Can We Still Be Friends?,Robert Palmer
2022-12-28 03:53:08,Magic,Olivia Newton-John
2022-12-28 03:57:53,Dirty Work,Steely Dan
2022-12-28 04:01:28,Please Come To Boston,Dave Loggins
2022-12-28 04:05:01,Biggest Part Of Me,Ambrosia
2022-12-28 04:09:47,Steal Away,Robbie Dupree
2022-12-28 04:13:22,Somebody's Baby,Jackson Browne
2022-12-28 04:18:08,How Long,Ace
2022-12-28 04:20:30,Year Of The Cat,Al Stewart
2022-12-28 04:25:18,Summer Breeze,Seals/Crofts
2022-12-28 04:27:42,Show And Tell,Al Wilson
2022-12-28 04:31:16,Spooky,Atlanta Rhythm Section
2022-12-28 04:36:03,Amie,Pure Prairie League
2022-12-28 04:40:48,Baker Street,Gerry Rafferty
2022-12-28 04:47:57,Danny's Song,Loggins/Messina
2022-12-28 04:51:32,Lowdown,Boz Scaggs
2022-12-28 04:56:17,The Things We Do For Love,10cc
2022-12-28 04:59:51,Yah-Mo Be There,James Ingram
2022-12-28 05:04:35,Take It Uptown,Bill Champlin
2022-12-28 05:09:21,It's Too Late,Carole King
2022-12-28 05:12:55,Do It Again,Steely Dan
