time_stamp,song,artist
2023-01-05 23:30:22,I'm Alright,Kenny Loggins
2023-01-05 23:32:46,Breezin',George Benson
2023-01-05 23:39:53,Any Major Dude Will Tell You,Steely Dan
2023-01-05 23:42:51,I Go Crazy,Paul Davis
2023-01-05 23:45:49,Steal Away,Robbie Dupree
2023-01-05 23:48:47,Southern Cross,"Crosby, Stills & Nash"
2023-01-05 23:52:57,How Long,Ace
2023-01-05 23:57:41,Heart Of The Night,Poco
2023-01-06 00:03:04,Rich Girl,Daryl Hall/John Oates
2023-01-06 00:04:52,Escape (The Pina Colada Song),Rupert Holmes
2023-01-06 00:09:02,Route 101,Herb Alpert
2023-01-06 00:11:59,Dirty Work,Steely Dan
2023-01-06 00:14:57,Nights Are Forever Without You,E.Dan/J.F.Coley
2023-01-06 00:17:54,Biggest Part Of Me,Ambrosia
2023-01-06 00:21:28,Georgy Porgy,Toto/Cheryl Lynn
2023-01-06 00:26:48,Cool Night,Paul Davis
2023-01-06 00:29:46,Summer Breeze,Seals/Crofts
2023-01-06 00:32:46,Every Kinda People,Robert Palmer
2023-01-06 00:36:54,Amie,Pure Prairie League
2023-01-06 00:40:28,Baker Street,Gerry Rafferty
2023-01-06 00:47:35,"Baby, What A Big Surprise",Chicago
2023-01-06 00:49:58,Yah-Mo Be There,James Ingram
2023-01-06 00:54:43,Sexy Eyes,Dr. Hook
2023-01-06 00:57:42,Lowdown,Boz Scaggs
2023-01-06 01:03:39,Love Has Come Of Age,Kenny Loggins
2023-01-06 01:06:38,Please Come To Boston,Dave Loggins
2023-01-06 01:10:47,Any Major Dude Will Tell You,Steely Dan
2023-01-06 01:14:57,Ride Like The Wind,Christopher Cross
2023-01-06 01:17:20,How Much I Feel,Ambrosia
2023-01-06 01:22:41,Southern Cross,"Crosby, Stills & Nash"
2023-01-06 01:26:52,I Just Wanna Stop,Gino Vanelli
2023-01-06 01:30:25,When I See You Again,Fleetwood Mac
2023-01-06 01:33:25,Baby I'm A Want You,Bread
2023-01-06 01:36:22,Take It Uptown,Bill Champlin
2023-01-06 01:39:21,Kiss On My List,Daryl Hall/John Oates
2023-01-06 01:44:40,Break My Stride,Matthew Wilder
2023-01-06 01:47:37,Rosanna,Toto
2023-01-06 01:51:47,The Things We Do For Love,10cc
2023-01-06 01:54:45,Sweet Freedom,Michael McDonald
2023-01-06 01:59:30,Heart To Heart,Kenny Loggins
2023-01-06 02:04:18,Hey Nineteen,Steely Dan
2023-01-06 02:09:39,How 'Bout Us,Champaign
2023-01-06 02:12:37,Georgia,Boz Scaggs
