time_stamp,song,artist
2023-01-05 11:11:29,Summer Breeze,Seals/Crofts
2023-01-05 11:13:52,WKRP In Cincinnati (Main Theme),Steve Carlisle
2023-01-05 11:16:53,Amie,Pure Prairie League
2023-01-05 11:21:40,Please Come To Boston,Dave Loggins
2023-01-05 11:25:45,Baker Street,Gerry Rafferty
2023-01-05 11:31:42,GAUCHO,Steely Dan
2023-01-05 11:37:42,Sara Smile,Daryl Hall/John Oates
2023-01-05 11:40:41,99,Toto
2023-01-05 11:44:50,Africa,Toto
2023-01-05 11:50:44,Devil Woman,Cliff Richard
2023-01-05 11:52:31,Georgia,Boz Scaggs
2023-01-05 11:57:52,Sexy Eyes,Dr. Hook
2023-01-05 11:59:37,Yah-Mo Be There,James Ingram
2023-01-05 12:04:23,You Can Do Magic,America
2023-01-05 12:08:32,Keep On Loving You,REO Speedwagon
2023-01-05 12:11:30,Brandy (You're A Fine Girl),Looking Glass
2023-01-05 12:14:30,Coconut,Harry Nilsson
2023-01-05 12:17:29,Diamond Girl,Seals/Crofts
2023-01-05 12:22:49,Feels So Good,Chuck Mangione
2023-01-05 12:25:47,Nights Are Forever Without You,E.Dan/J.F.Coley
2023-01-05 12:28:46,What A Fool Believes,Doobie Brothers
2023-01-05 12:31:45,Danny's Song,Loggins/Messina
2023-01-05 12:36:30,Jojo,Boz Scaggs
2023-01-05 12:42:30,Cool Change,Little River Band
2023-01-05 12:46:39,Afternoon Delight,Starland Vocal Band
2023-01-05 12:49:38,Right Down The Line,Gerry Rafferty
2023-01-05 12:53:12,Dreadlock Holiday,10cc
2023-01-05 12:57:19,All Out Of Love,Air Supply
2023-01-05 13:01:29,Georgy Porgy,Toto/Cheryl Lynn
2023-01-05 13:06:17,Love Will Find A Way,Pablo Cruise
2023-01-05 13:10:29,Sister Golden Hair,America
2023-01-05 13:13:28,You're No Good,Linda Ronstadt
2023-01-05 13:16:25,You Make Loving Fun,Fleetwood Mac
2023-01-05 13:19:58,Sail On,Commodores
2023-01-05 13:22:56,You're The Only Woman,Ambrosia
2023-01-05 13:28:20,Southern Cross,"Crosby, Stills & Nash"
2023-01-05 13:31:54,Give Me the Night,George Benson
2023-01-05 13:36:04,King of the World,Steely Dan
2023-01-05 13:40:51,Make It With You,Bread
2023-01-05 13:43:51,Hello It's Me,Todd Rundgren
2023-01-05 13:48:00,Sweet Freedom,Michael McDonald
2023-01-05 13:52:10,Cool Night,Paul Davis
2023-01-05 13:55:45,Dream Weaver,Gary Wright
2023-01-05 13:58:43,Route 101,Herb Alpert
2023-01-05 14:02:52,Arthur's Theme,Christopher Cross
2023-01-05 14:06:27,Even The Nights Are Better,Air Supply
2023-01-05 14:09:26,Ventura Highway,America
2023-01-05 14:13:37,Magnet And Steel,Walter Egan
2023-01-05 14:17:47,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2023-01-05 14:18:23,Moonlight Feels Right,Starbuck
2023-01-05 14:22:33,Just Remember I Love You,Firefall
2023-01-05 14:26:43,Drift Away,Dobie Gray
2023-01-05 14:29:39,So In To You,Atlanta Rhythm Section
2023-01-05 14:34:26,Best Of My Love,Eagles
2023-01-05 14:39:46,I Believe In Love,Kenny Loggins
2023-01-05 14:42:44,99,Toto
2023-01-05 14:47:29,Key Largo,Bertie Higgins
2023-01-05 14:51:38,Dirty Work,Steely Dan
2023-01-05 14:53:25,Breezin',George Benson
2023-01-05 14:59:21,I Keep Forgettin' (82),Michael McDonald
2023-01-05 15:03:32,Biggest Part Of Me,Ambrosia
2023-01-05 15:07:07,I Go Crazy,Paul Davis
2023-01-05 15:11:18,Escape (The Pina Colada Song),Rupert Holmes
2023-01-05 15:14:17,Heart Of The Night,Poco
2023-01-05 15:20:12,Steal Away,Robbie Dupree
2023-01-05 15:23:10,Never Be The Same,Christopher Cross
2023-01-05 15:26:44,I'm Not In Love,10cc
2023-01-05 15:30:54,How Long,Ace
2023-01-05 15:35:03,You Are The Woman,Firefall
2023-01-05 15:36:51,Caribbean Queen,Billy Ocean
2023-01-05 15:40:59,Reminiscing,Little River Band
2023-01-05 15:44:34,"Whenever I Call You ""Friend""",Kenny Loggins/Stevie Nicks
2023-01-05 15:48:44,Just The Two Of Us,Grover Washington Jr.
2023-01-05 15:51:41,Ride Captain Ride,Blues Image
2023-01-05 15:55:15,Wildfire,Michael Martin Murphey
2023-01-05 15:58:14,Do It Again,Steely Dan
2023-01-05 16:05:21,Rock The Boat,Hues Corporation
2023-01-05 16:07:08,Baby Come Back,Player
2023-01-05 16:11:17,You Can Do Magic,America
2023-01-05 16:16:04,Playin' By The Rules,Michael McDonald
2023-01-05 16:20:12,Rich Girl,Daryl Hall/John Oates
2023-01-05 16:21:59,Can We Still Be Friends?,Robert Palmer
2023-01-05 16:26:09,Diamond Girl,Seals/Crofts
2023-01-05 16:30:19, ,
2023-01-05 16:32:07,Diamond Girl,Seals/Crofts
2023-01-05 16:35:06,Somebody's Baby,Jackson Browne
2023-01-05 16:36:52,Jojo,Boz Scaggs
2023-01-05 16:43:26,I'll Be Over You,Toto
2023-01-05 16:47:02,Brandy (You're A Fine Girl),Looking Glass
2023-01-05 16:49:23,Vahevala,Loggins/Messina
2023-01-05 16:55:20,Cool Change,Little River Band
2023-01-05 16:58:18,Gypsy,Fleetwood Mac
2023-01-05 17:01:53,You're The Only Woman,Ambrosia
2023-01-05 17:07:14,Those Shoes,Eagles
2023-01-05 17:11:59,Give Me the Night,George Benson
2023-01-05 17:16:09,"My Girl (Gone, Gone, Gone)",Chilliwack
2023-01-05 17:19:08,Deacon Blues,Steely Dan
2023-01-05 17:26:55,On And On,Stephen Bishop
2023-01-05 17:31:06,Sweet Freedom,Michael McDonald
2023-01-05 17:34:03,Just Another Day In Paradise,Bertie Higgins
2023-01-05 17:38:14,Sister Golden Hair,America
2023-01-05 17:41:10,Better Love Next Time,Dr. Hook
2023-01-05 17:44:09,All Out Of Love,Air Supply
2023-01-05 17:47:07,I Gotta Try,Michael McDonald
2023-01-05 17:51:51,Amie,Pure Prairie League
2023-01-05 17:56:00,Every Kinda People,Robert Palmer
2023-01-05 17:58:58,Make It With You,Bread
2023-01-05 18:02:34,All Night Long (All Night),Lionel Richie
2023-01-05 18:05:32,What You Won't Do For Love,Bobby Caldwell
2023-01-05 18:10:55,WKRP In Cincinnati (Main Theme),Steve Carlisle
2023-01-05 18:13:52,Arthur's Theme,Christopher Cross
2023-01-05 18:18:39,You Make Loving Fun,Fleetwood Mac
2023-01-05 18:21:36,Magic,Olivia Newton-John
2023-01-05 18:26:20,Just Remember I Love You,Firefall
2023-01-05 18:29:55,Year Of The Cat,Al Stewart
2023-01-05 18:33:29,Still The One,Orleans
2023-01-05 18:37:38,Biggest Part Of Me,Ambrosia
2023-01-05 18:41:49,Please Come To Boston,Dave Loggins
2023-01-05 18:46:34,I Keep Forgettin' (82),Michael McDonald
2023-01-05 18:49:32,Heart To Heart,Kenny Loggins
2023-01-05 18:55:30,Peg,Steely Dan
2023-01-05 18:59:40,Sexy Eyes,Dr. Hook
2023-01-05 19:01:27,Show And Tell,Al Wilson
2023-01-05 19:05:36,Ventura Highway,America
2023-01-05 19:08:33,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2023-01-05 19:11:32,Oriental Gate,Sanford Townsend Band
2023-01-05 19:14:31,Summer Breeze,Seals/Crofts
2023-01-05 19:17:30,You're Out To Lose,Pablo Cruise
