time_stamp,song,artist
2022-12-28 11:48:21,Show And Tell,Al Wilson
2022-12-28 11:50:09,Biggest Part Of Me,Ambrosia
2022-12-28 11:54:19,Southern Cross,"Crosby, Stills & Nash"
2022-12-28 11:59:41,Spooky,Atlanta Rhythm Section
2022-12-28 12:04:25,Hello It's Me,Todd Rundgren
2022-12-28 12:07:59,Dance With Me,Orleans
2022-12-28 12:10:22,Cool Night,Paul Davis
2022-12-28 12:13:55,Dreams,Fleetwood Mac
2022-12-28 12:18:40,Moonlight Feels Right,Starbuck
2022-12-28 12:22:14,Baby Come Back,Player
2022-12-28 12:24:51,One Step Closer,Doobie Brothers
2022-12-28 12:29:37,Brandy (You're A Fine Girl),Looking Glass
2022-12-28 12:31:59,Vahevala,Loggins/Messina
2022-12-28 12:37:55,I Can't Go For That (No Can Do),Hall/Oates
2022-12-28 12:41:29,Drift Away,Dobie Gray
2022-12-28 12:45:05,You Can Do Magic,America
2022-12-28 12:48:40,99,Toto
2022-12-28 12:53:24,Deacon Blues,Steely Dan
2022-12-28 13:00:31,Key Largo,Bertie Higgins
2022-12-28 13:04:07,Diamond Girl,Seals/Crofts
2022-12-28 13:07:40,I Go Crazy,Paul Davis
2022-12-28 13:12:26,You Make Loving Fun,Fleetwood Mac
2022-12-28 13:15:58,Caribbean Queen,Billy Ocean
2022-12-28 13:19:33,Jojo,Boz Scaggs
2022-12-28 13:25:29,Never Be The Same,Christopher Cross
2022-12-28 13:30:15,Right Down The Line,Gerry Rafferty
2022-12-28 13:33:50,Can We Still Be Friends?,Robert Palmer
2022-12-28 13:37:23,You're The Only Woman,Ambrosia
2022-12-28 13:40:58,Devil Woman,Cliff Richard
2022-12-28 13:44:34,I Gotta Try,Michael McDonald
2022-12-28 13:48:09,Takin' It To The Streets,Doobie Brothers
2022-12-28 13:51:43,When You're In Love With..,Dr. Hook
2022-12-28 13:54:05,You Make My Dreams Come True,Hall and Oates
2022-12-28 13:57:40,Sister Golden Hair,America
2022-12-28 14:01:15,I'll Be Over You,Toto
2022-12-28 14:04:50,Give Me the Night,George Benson
2022-12-28 14:09:00,Whatcha Gonna Do,Pablo Cruise
2022-12-28 14:11:58,Do It Again,Steely Dan
2022-12-28 14:16:43,Lido Shuffle,Boz Scaggs
2022-12-28 14:20:53,Everywhere,Fleetwood Mac
2022-12-28 14:24:28,Make It With You,Bread
2022-12-28 14:26:50,Dream Weaver,Gary Wright
2022-12-28 14:31:36,"My Girl (Gone, Gone, Gone)",Chilliwack
2022-12-28 14:35:47,Arthur's Theme,Christopher Cross
2022-12-28 14:38:46,On And On,Stephen Bishop
2022-12-28 14:42:57,Just The Two Of Us,Grover Washington Jr.
2022-12-28 14:47:06,Southern Cross,"Crosby, Stills & Nash"
2022-12-28 14:50:05,What a Fool Believes,Doobie Brothers
2022-12-28 14:53:41,What A Fool Believes,Doobie Brothers
2022-12-28 14:57:15,Every Kinda People,Robert Palmer
2022-12-28 15:00:50,She's Gone,Daryl Hall/John Oates
2022-12-28 15:04:24,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2022-12-28 15:06:46,Sexy Eyes,Dr. Hook
2022-12-28 15:10:21,Ventura Highway,America
2022-12-28 15:12:44,Breezin',George Benson
2022-12-28 15:18:39,Still The One,Orleans
2022-12-28 15:23:25,Just Another Day In Paradise,Bertie Higgins
2022-12-28 15:27:00,Lotta Love,Nicolette Larson
2022-12-28 15:30:34,So In To You,Atlanta Rhythm Section
2022-12-28 15:32:58,Magnet And Steel,Walter Egan
2022-12-28 15:36:33,Rosanna,Toto
2022-12-28 15:40:08,All Night Long (All Night),Lionel Richie
2022-12-28 15:44:53,I Can't Tell You Why,Eagles
