time_stamp,song,artist
2022-12-27 14:53:40,Yah-Mo Be There,James Ingram
2022-12-27 14:57:53,Rock The Boat,Hues Corporation
2022-12-27 15:01:30,Couldn't Get It Right,Climax Blues Band
2022-12-27 15:03:18,This Is It,Kenny Loggins
2022-12-27 15:08:07,Wildfire,Michael Martin Murphey
2022-12-27 15:10:31,Ride Like The Wind,Christopher Cross
2022-12-27 15:14:07,We're In This Love Together,Al Jarreau
2022-12-27 15:18:20,Escape (The Pina Colada Song),Rupert Holmes
2022-12-27 15:22:33,You're Out To Lose,Pablo Cruise
2022-12-27 15:25:35,Somebody's Baby,Jackson Browne
2022-12-27 15:30:24,Steal Away,Robbie Dupree
2022-12-27 15:32:12,Any Major Dude Will Tell You,Steely Dan
2022-12-27 15:36:24,Better Love Next Time,Dr. Hook
2022-12-27 15:38:48,Kiss On My List,Daryl Hall/John Oates
2022-12-27 15:43:37,Cool Night,Paul Davis
2022-12-27 15:47:49,Brandy (You're A Fine Girl),Looking Glass
2022-12-27 15:50:49,Route 101,Herb Alpert
2022-12-27 15:52:38,"Baby, What A Big Surprise",Chicago
2022-12-27 15:55:39,How Long,Ace
2022-12-27 15:59:50,Africa,Toto
2022-12-27 16:04:02,Diamond Girl,Seals/Crofts
2022-12-27 16:07:39,Vahevala,Loggins/Messina
2022-12-27 16:11:52,Georgia,Boz Scaggs
2022-12-27 16:15:29,I Love You,Climax Blues Band
2022-12-27 16:19:42,Cool Change,Little River Band
2022-12-27 16:25:06,Him,Rupert Holmes
2022-12-27 16:27:32,When You're In Love With..,Dr. Hook
2022-12-27 16:31:47,Dirty Work,Steely Dan
2022-12-27 16:33:35,Drift Away,Dobie Gray
2022-12-27 16:38:58,You Make Loving Fun,Fleetwood Mac
2022-12-27 16:40:47,I'm Not In Love,10cc
2022-12-27 16:46:12,Baker Street,Gerry Rafferty
2022-12-27 16:52:14,A Horse With No Name,America
2022-12-27 16:55:15,Sara Smile,Daryl Hall/John Oates
2022-12-27 16:59:27,Don't Stop To Watch The Wheels,Doobie Brothers
2022-12-27 17:01:16,I Just Wanna Stop,Gino Vanelli
2022-12-27 17:06:04,Whatcha Gonna Do,Pablo Cruise
2022-12-27 17:08:29,All Out Of Love,Air Supply
2022-12-27 17:12:07,I'm Alright,Kenny Loggins
2022-12-27 17:15:43,Lowdown,Boz Scaggs
2022-12-27 17:20:30,Every Kinda People,Robert Palmer
2022-12-27 17:24:06,Sailing,Christopher Cross
2022-12-27 17:28:56,Just Another Day In Paradise,Bertie Higgins
2022-12-27 17:32:34,Hey Nineteen,Steely Dan
2022-12-27 17:36:11,Lotta Love,Nicolette Larson
2022-12-27 17:39:48,How Much I Feel,Ambrosia
2022-12-27 17:44:39,Southern Cross,"Crosby, Stills & Nash"
2022-12-27 17:48:15,Rosanna,Toto
2022-12-27 17:53:04,"Who's Right, Who's Wrong?",Pages
2022-12-27 17:57:53,I Can't Tell You Why,Eagles
2022-12-27 18:01:31,Caribbean Queen,Billy Ocean
2022-12-27 18:06:21,Dance With Me,Orleans
2022-12-27 18:08:45,Devil Woman,Cliff Richard
2022-12-27 18:12:21,All Night Long (All Night),Lionel Richie
2022-12-27 18:17:10,Takin' It To The Streets,Doobie Brothers
2022-12-27 18:20:12,WKRP In Cincinnati (Main Theme),Steve Carlisle
2022-12-27 18:23:12,Dreams,Fleetwood Mac
2022-12-27 18:26:50,Jojo,Boz Scaggs
2022-12-27 18:32:51,Love Has Come Of Age,Kenny Loggins
2022-12-27 18:36:29,She's Gone,Daryl Hall/John Oates
2022-12-27 18:40:05,Can We Still Be Friends?,Robert Palmer
2022-12-27 18:44:54,Give Me the Night,George Benson
2022-12-27 18:52:09,Magic,Olivia Newton-John
2022-12-27 18:55:46,Make It With You,Bread
2022-12-27 18:59:22,You Are The Woman,Firefall
2022-12-27 19:01:47,I Really Don't Know Anymore,Christopher Cross
2022-12-27 19:06:38,Reminiscing,Little River Band
2022-12-27 19:09:03,"My Girl (Gone, Gone, Gone)",Chilliwack
2022-12-27 19:12:40,Just The Two Of Us,Grover Washington Jr.
2022-12-27 19:16:19,On And On,Stephen Bishop
2022-12-27 19:19:55,Sexy Eyes,Dr. Hook
2022-12-27 19:22:56,What A Fool Believes,Doobie Brothers
2022-12-27 19:25:24,Year Of The Cat,Al Stewart
2022-12-27 19:31:26,Do It Again,Steely Dan
2022-12-27 19:37:28,Baby Come Back,Player
2022-12-27 19:41:05,Danny's Song,Loggins/Messina
2022-12-27 19:44:42,Rich Girl,Daryl Hall/John Oates
2022-12-27 19:47:07,Lido Shuffle,Boz Scaggs
2022-12-27 19:50:43,What You Won't Do For Love,Bobby Caldwell
2022-12-27 19:54:22,99,Toto
2022-12-27 20:00:26,Never Be The Same,Christopher Cross
2022-12-27 20:05:14,Just Remember I Love You,Firefall
2022-12-27 20:07:41,Key Largo,Bertie Higgins
2022-12-27 20:11:18,You Make Loving Fun,Fleetwood Mac
2022-12-27 20:14:54,Breezin',George Benson
2022-12-27 20:19:42,One Of These Nights,Eagles
2022-12-27 20:24:31,I Go Crazy,Paul Davis
2022-12-27 20:28:08,You Can Do Magic,America
2022-12-27 20:31:46,Oriental Gate,Sanford Townsend Band
2022-12-27 20:34:10,I Keep Forgettin' (82),Michael McDonald
2022-12-27 20:38:59,Please Come To Boston,Dave Loggins
2022-12-27 20:42:35,I Just Wanna Stop,Gino Vanelli
2022-12-27 20:46:12,Jackie Blue,Ozark Mountain Daredevils
2022-12-27 20:49:49,Sara Smile,Daryl Hall/John Oates
2022-12-27 20:52:13,Show And Tell,Al Wilson
2022-12-27 20:55:52,Deacon Blues,Steely Dan
2022-12-27 21:04:19,Heart To Heart,Kenny Loggins
2022-12-27 21:09:06,How Much I Feel,Ambrosia
2022-12-27 21:12:45,The Things We Do For Love,10cc
2022-12-27 21:16:22,Rosanna,Toto
2022-12-27 21:20:35,You Make Me Feel Like Dancing,Leo Sayer
2022-12-27 21:23:36,Ride Like The Wind,Christopher Cross
2022-12-27 21:26:37,Spooky,Atlanta Rhythm Section
2022-12-27 21:32:38,I Can't Tell You Why,Eagles
2022-12-27 21:36:51,Take It Uptown,Bill Champlin
2022-12-27 21:41:03,Dance With Me,Orleans
2022-12-27 21:43:27,How 'Bout Us,Champaign
2022-12-27 21:47:03,Thunder Island,Jay Ferguson
2022-12-27 21:50:40,Sweet Freedom,Michael McDonald
2022-12-27 21:55:30,It's Too Late,Carole King
2022-12-27 21:57:55,Dreams,Fleetwood Mac
2022-12-27 22:02:45,You Make My Dreams Come True,Hall and Oates
2022-12-27 22:06:21,Keep On Loving You,REO Speedwagon
2022-12-27 22:09:57,Sister Golden Hair,America
2022-12-27 22:12:21,I.G.Y.,Donald Fagen
2022-12-27 22:18:24,Brandy (You're A Fine Girl),Looking Glass
2022-12-27 22:22:01,I'll Be Over You,Toto
2022-12-27 22:25:36,I Gotta Try,Michael McDonald
2022-12-27 22:29:12,Diamond Girl,Seals/Crofts
2022-12-27 22:32:49,Jojo,Boz Scaggs
2022-12-27 22:38:14,Coconut,Harry Nilsson
2022-12-27 22:41:50,Cool Change,Little River Band
2022-12-27 22:46:38,Feels So Good,Chuck Mangione
2022-12-27 22:50:53,Right Down The Line,Gerry Rafferty
2022-12-27 22:53:54,Hello It's Me,Todd Rundgren
