time_stamp,song,artist
2022-12-25 01:36:28,Why I Came To California,Leon Ware
2022-12-25 01:38:22,Diamond Girl,Seals/Crofts
2022-12-25 01:41:59,Heart To Heart,Kenny Loggins
2022-12-25 01:48:02,She's Gone,Daryl Hall/John Oates
2022-12-25 01:51:35,Spooky,Atlanta Rhythm Section
2022-12-25 01:56:22,Jojo,Boz Scaggs
2022-12-25 02:02:18,You Make Loving Fun,Fleetwood Mac
2022-12-25 02:04:41,Jingle Bells,Peter Cetera
2022-12-25 02:09:28,You Make Me Feel Like Dancing,Leo Sayer
2022-12-25 02:11:51,Sister Golden Hair,America
2022-12-25 02:15:26,I Really Don't Know Anymore,Christopher Cross
2022-12-25 02:19:01,Cool Change,Little River Band
2022-12-25 02:22:35,We're In This Love Together,Al Jarreau
2022-12-25 02:26:11,Deacon Blues,Steely Dan
2022-12-25 02:38:10,All Out Of Love,Air Supply
2022-12-25 02:41:46,Every Time Christmas Comes Around,Michael McDonald
2022-12-25 02:45:22,You Are The Woman,Firefall
2022-12-25 02:47:44,Take It Uptown,Bill Champlin
2022-12-25 02:52:30,Afternoon Delight,Starland Vocal Band
2022-12-25 02:56:05,You're The Only Woman,Ambrosia
2022-12-25 02:59:40,Love Has Come Of Age,Kenny Loggins
2022-12-25 03:03:17,Give Me the Night,George Benson
2022-12-25 03:06:53,No Child Should Ever Cry On Christmas,Daryl Hall/John Oates
2022-12-25 03:10:30,Thunder Island,Jay Ferguson
2022-12-25 03:15:17,Make It With You,Bread
2022-12-25 03:18:49,It's Too Late,Carole King
2022-12-25 03:22:26,Dream Weaver,Gary Wright
2022-12-25 03:27:12,Coconut,Harry Nilsson
2022-12-25 03:30:48,I.G.Y.,Donald Fagen
2022-12-25 03:36:49,Ventura Highway,America
2022-12-25 03:39:12,Arthur's Theme,Christopher Cross
2022-12-25 03:43:59,Him,Rupert Holmes
2022-12-25 03:46:22,Just The Two Of Us,Grover Washington Jr.
