time_stamp,song,artist
2023-01-02 11:27:44,Magnet And Steel,Walter Egan
2023-01-02 11:28:20,Moonlight Feels Right,Starbuck
2023-01-02 11:31:54,Deacon Blues,Steely Dan
2023-01-02 11:43:48,Sweet Freedom,Michael McDonald
2023-01-02 11:46:47,Daisy Jane,America
2023-01-02 11:49:46,Just Remember I Love You,Firefall
2023-01-02 11:53:55,Everywhere,Fleetwood Mac
2023-01-02 11:58:06,So In To You,Atlanta Rhythm Section
2023-01-02 12:01:05,Love Me Tomorrow,Boz Scaggs
2023-01-02 12:04:38,Caribbean Queen,Billy Ocean
2023-01-02 12:07:37,Baker Street,Gerry Rafferty
2023-01-02 12:13:32,Wildfire,Michael Martin Murphey
2023-01-02 12:17:43,Hey Nineteen,Steely Dan
2023-01-02 12:23:05,Rock The Boat,Hues Corporation
2023-01-02 12:24:53,Yah-Mo Be There,James Ingram
2023-01-02 12:29:39,Do You Believe In Love,Paul Davis
2023-01-02 12:33:49,Ride Like The Wind,Christopher Cross
2023-01-02 12:36:47,Can We Still Be Friends?,Robert Palmer
2023-01-02 12:41:34,Lowdown,Boz Scaggs
2023-01-02 12:45:44,Somebody's Baby,Jackson Browne
2023-01-02 12:50:30,How Much I Feel,Ambrosia
2023-01-02 12:54:38,Love Has Come Of Age,Kenny Loggins
2023-01-02 12:59:25,Kiss On My List,Daryl Hall/John Oates
2023-01-02 13:03:38,Devil Woman,Cliff Richard
2023-01-02 13:07:13,I Just Wanna Stop,Gino Vanelli
2023-01-02 13:10:46,We're In This Love Together,Al Jarreau
2023-01-02 13:13:11,Rosanna,Toto
2023-01-02 13:17:22,When You're In Love With..,Dr. Hook
2023-01-02 13:20:19,I Can't Tell You Why,Eagles
2023-01-02 13:25:40,Whatcha Gonna Do,Pablo Cruise
2023-01-02 13:28:37,Dreams,Fleetwood Mac
2023-01-02 13:32:10,"My Girl (Gone, Gone, Gone)",Chilliwack
2023-01-02 13:37:30,Deacon Blues,Steely Dan
2023-01-02 13:44:38,On And On,Stephen Bishop
2023-01-02 13:47:00,Just Another Day In Paradise,Bertie Higgins
2023-01-02 13:51:45,Takin' It To The Streets,Doobie Brothers
2023-01-02 13:54:42,Lido Shuffle,Boz Scaggs
2023-01-02 13:57:39,Sailing,Christopher Cross
2023-01-02 14:03:01,You Can Do Magic,America
2023-01-02 14:06:00,Danny's Song,Loggins/Messina
2023-01-02 14:10:44,She's Gone,Daryl Hall/John Oates
2023-01-02 14:13:43,99,Toto
2023-01-02 14:18:27,Baby Come Back,Player
2023-01-02 14:22:36,The Things We Do For Love,10cc
2023-01-02 14:25:33,Better Love Next Time,Dr. Hook
2023-01-02 14:28:30,You Make Loving Fun,Fleetwood Mac
2023-01-02 14:30:21, ,
2023-01-02 14:30:58,You Make Loving Fun,Fleetwood Mac
2023-01-02 14:31:33,Brandy (You're A Fine Girl),Looking Glass
2023-01-02 14:35:42,Every Kinda People,Robert Palmer
2023-01-02 14:37:29,Cool Change,Little River Band
2023-01-02 14:42:50,Jackie Blue,Ozark Mountain Daredevils
2023-01-02 14:45:49,You're The Only Woman,Ambrosia
2023-01-02 14:49:23,"Baby, What A Big Surprise",Chicago
2023-01-02 14:52:21,Lotta Love,Nicolette Larson
2023-01-02 14:55:19,Peg,Steely Dan
2023-01-02 14:59:29,All Night Long (All Night),Lionel Richie
2023-01-02 15:03:39,What A Fool Believes,Doobie Brothers
2023-01-02 15:07:14,Give Me the Night,George Benson
2023-01-02 15:11:24,WKRP In Cincinnati (Main Theme),Steve Carlisle
2023-01-02 15:14:23,All Out Of Love,Air Supply
2023-01-02 15:18:32,Vahevala,Loggins/Messina
2023-01-02 15:23:17,Rhiannon,Fleetwood Mac
2023-01-02 15:26:15,I'll Be Over You,Toto
2023-01-02 15:31:00,Sexy Eyes,Dr. Hook
2023-01-02 15:33:23,Rich Girl,Daryl Hall/John Oates
2023-01-02 15:36:21,You're No Good,Linda Ronstadt
2023-01-02 15:39:17,Make It With You,Bread
2023-01-02 15:42:52,Magic,Olivia Newton-John
2023-01-02 15:46:59,You Are The Woman,Firefall
2023-01-02 15:49:55,Year Of The Cat,Al Stewart
2023-01-02 15:54:03,What You Won't Do For Love,Bobby Caldwell
2023-01-02 15:58:46,Love Is A Mystery,Robbie Dupree
2023-01-02 16:02:18,Do It Again,Steely Dan
2023-01-02 16:08:11,Show And Tell,Al Wilson
2023-01-02 16:11:09,You Belong To Me,Doobie Brothers
2023-01-02 16:14:05,You Make Me Feel Like Dancing,Leo Sayer
2023-01-02 16:16:26,Arthur's Theme,Christopher Cross
2023-01-02 16:20:33,A Horse With No Name,America
2023-01-02 16:24:39,Still The One,Orleans
2023-01-02 16:29:22,Him,Rupert Holmes
2023-01-02 16:32:19,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2023-01-02 16:35:16,Everywhere,Fleetwood Mac
2023-01-02 16:38:16,So In To You,Atlanta Rhythm Section
2023-01-02 16:43:33,Southern Cross,"Crosby, Stills & Nash"
2023-01-02 16:47:06,Reminiscing,Little River Band
2023-01-02 16:51:13,Take It Uptown,Bill Champlin
2023-01-02 16:55:19,Couldn't Get It Right,Climax Blues Band
2023-01-02 16:58:52,How 'Bout Us,Champaign
2023-01-02 17:02:25,Just Remember I Love You,Firefall
2023-01-02 17:04:11,Thunder Island,Jay Ferguson
2023-01-02 17:08:57,It's Too Late,Carole King
2023-01-02 17:13:06,I Believe In Love,Kenny Loggins
2023-01-02 17:16:02,Please Come To Boston,Dave Loggins
2023-01-02 17:20:45,Dirty Work,Steely Dan
2023-01-02 17:23:08,Biggest Part Of Me,Ambrosia
2023-01-02 17:27:52,Just In Time,Doobie Brothers
2023-01-02 17:30:49,All Right,Christopher Cross
2023-01-02 17:34:56,Keep On Loving You,REO Speedwagon
2023-01-02 17:38:28,Escape (The Pina Colada Song),Rupert Holmes
2023-01-02 17:42:02,Spooky,Atlanta Rhythm Section
2023-01-02 17:46:45,Gypsy,Fleetwood Mac
2023-01-02 17:50:51,Steal Away,Robbie Dupree
2023-01-02 17:54:23,How Long,Ace
2023-01-02 17:57:57,Best Of My Love,Eagles
2023-01-02 18:02:42,Africa,Toto
2023-01-02 18:06:50,Daisy Jane,America
2023-01-02 18:09:45,Baby I'm A Want You,Bread
2023-01-02 18:12:42,Afternoon Delight,Starland Vocal Band
2023-01-02 18:14:28,Heart To Heart,Kenny Loggins
2023-01-02 18:20:57,Georgia,Boz Scaggs
2023-01-02 18:24:29,Coconut,Harry Nilsson
2023-01-02 18:27:25,Any Major Dude Will Tell You,Steely Dan
2023-01-02 18:30:22,Baker Street,Gerry Rafferty
2023-01-02 18:38:38,Feels So Good,Chuck Mangione
2023-01-02 18:41:34,Summer Breeze,Seals/Crofts
2023-01-02 18:43:20,Nights Are Forever Without You,E.Dan/J.F.Coley
2023-01-02 18:47:28,Amie,Pure Prairie League
2023-01-02 18:51:35,Even The Nights Are Better,Air Supply
2023-01-02 18:56:18,Hello It's Me,Todd Rundgren
2023-01-02 18:59:14,Yah-Mo Be There,James Ingram
2023-01-02 19:03:23,Dreadlock Holiday,10cc
2023-01-02 19:08:04,Ride Like The Wind,Christopher Cross
