time_stamp,song,artist
2023-01-01 22:47:07,Baby Come Back,Player
2023-01-01 22:49:30,Somebody's Baby,Jackson Browne
2023-01-01 22:53:05,Whatcha Gonna Do,Pablo Cruise
2023-01-01 22:57:52,Any Major Dude Will Tell You,Steely Dan
2023-01-01 23:00:16,Vahevala,Loggins/Messina
2023-01-01 23:05:02,You Can Do Magic,America
2023-01-01 23:08:35,Sweet Freedom,Michael McDonald
2023-01-01 23:16:55,Brandy (You're A Fine Girl),Looking Glass
2023-01-01 23:19:19,I Really Don't Know Anymore,Christopher Cross
2023-01-01 23:22:53,You Make My Dreams Come True,Hall and Oates
2023-01-01 23:26:28,Can We Still Be Friends?,Robert Palmer
2023-01-01 23:30:02,On And On,Stephen Bishop
2023-01-01 23:33:36,You Make Loving Fun,Fleetwood Mac
2023-01-01 23:36:00,Sexy Eyes,Dr. Hook
2023-01-01 23:39:34,Diamond Girl,Seals/Crofts
2023-01-01 23:43:09,Just Another Day In Paradise,Bertie Higgins
2023-01-01 23:46:43,Jojo,Boz Scaggs
2023-01-01 23:52:41,Jackie Blue,Ozark Mountain Daredevils
2023-01-01 23:56:17,Cool Change,Little River Band
2023-01-01 23:59:51,Why I Came To California,Leon Ware
2023-01-02 00:04:35,Arthur's Theme,Christopher Cross
2023-01-02 00:08:11,Take It Uptown,Bill Champlin
2023-01-02 00:11:46,You Are The Woman,Firefall
2023-01-02 00:14:10,How 'Bout Us,Champaign
2023-01-02 00:18:58,Reminiscing,Little River Band
2023-01-02 00:21:20,"Baby, What A Big Surprise",Chicago
2023-01-02 00:24:53,Thunder Island,Jay Ferguson
2023-01-02 00:28:27,What You Won't Do For Love,Bobby Caldwell
2023-01-02 00:33:12,It's Too Late,Carole King
2023-01-02 00:36:47,Do It Again,Steely Dan
2023-01-02 00:42:44,So In To You,Atlanta Rhythm Section
2023-01-02 00:46:55,Best Of My Love,Eagles
2023-01-02 00:51:38,Listen To The Music,Doobie Brothers
2023-01-02 00:55:12,A Horse With No Name,America
2023-01-02 00:59:55,Still The One,Orleans
2023-01-02 01:02:17,The Things We Do For Love,10cc
2023-01-02 01:05:50,You're No Good,Linda Ronstadt
2023-01-02 01:09:22,Just Remember I Love You,Firefall
2023-01-02 01:12:56,Keep On Loving You,REO Speedwagon
2023-01-02 01:15:52,This Is It,Kenny Loggins
2023-01-02 01:20:38,Coconut,Harry Nilsson
