time_stamp,song,artist
2022-12-26 01:43:25,Sexy Eyes,Dr. Hook
2022-12-26 01:45:48,Peg,Steely Dan
2022-12-26 01:50:34,All Night Long (All Night),Lionel Richie
2022-12-26 01:54:08,Still The One,Orleans
2022-12-26 01:57:43,Keep On Loving You,REO Speedwagon
2022-12-26 02:00:07,Rich Girl,Daryl Hall/John Oates
2022-12-26 02:03:41,Feels So Good,Chuck Mangione
2022-12-26 02:07:13,Arthur's Theme,Christopher Cross
2022-12-26 02:10:47,What a Fool Believes,Doobie Brothers
2022-12-26 02:14:22,So In To You,Atlanta Rhythm Section
2022-12-26 02:19:09,Nights Are Forever Without You,E.Dan/J.F.Coley
2022-12-26 02:21:33,Dreams,Fleetwood Mac
2022-12-26 02:25:08,I'll Be Over You,Toto
2022-12-26 02:29:52,You Can Do Magic,America
2022-12-26 02:33:27,Magic,Olivia Newton-John
2022-12-26 02:37:03,Couldn't Get It Right,Climax Blues Band
2022-12-26 02:41:48,Please Come To Boston,Dave Loggins
2022-12-26 02:44:10,Year Of The Cat,Al Stewart
2022-12-26 02:48:55,Sweet Freedom,Michael McDonald
2022-12-26 02:53:39,On And On,Stephen Bishop
2022-12-26 02:57:13,Do It Again,Steely Dan
2022-12-26 03:02:01,Biggest Part Of Me,Ambrosia
2022-12-26 03:05:34,Show And Tell,Al Wilson
2022-12-26 03:09:43,You Make My Dreams Come True,Hall and Oates
2022-12-26 03:13:17,Hello It's Me,Todd Rundgren
2022-12-26 03:16:50,I Believe In Love,Kenny Loggins
2022-12-26 03:20:24,Sail On,Commodores
2022-12-26 03:23:59,Love Will Find A Way,Pablo Cruise
2022-12-26 03:27:35,You Make Loving Fun,Fleetwood Mac
2022-12-26 03:31:08,How Long,Ace
2022-12-26 03:34:42,Daisy Jane,America
2022-12-26 03:37:05,Georgia,Boz Scaggs
2022-12-26 03:40:39,Spooky,Atlanta Rhythm Section
2022-12-26 03:45:25,Summer Breeze,Seals/Crofts
2022-12-26 03:48:59,You Make Me Feel Like Dancing,Leo Sayer
2022-12-26 03:52:32,Even The Nights Are Better,Air Supply
2022-12-26 03:56:07,You Belong To Me,Doobie Brothers
