time_stamp,song,artist
2022-12-30 00:19:01,Dream Weaver,Gary Wright
2022-12-30 00:22:01,Cool Night,Paul Davis
2022-12-30 00:25:02,Gypsy,Fleetwood Mac
2022-12-30 00:28:39,Arthur's Theme,Christopher Cross
2022-12-30 00:34:40,"Baby, What A Big Surprise",Chicago
2022-12-30 00:36:27,Just The Two Of Us,Grover Washington Jr.
2022-12-30 00:40:39,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2022-12-30 00:43:39,Magnet And Steel,Walter Egan
2022-12-30 00:46:04,Rich Girl,Daryl Hall/John Oates
2022-12-30 00:48:28,Moonlight Feels Right,Starbuck
2022-12-30 00:52:41,Just Remember I Love You,Firefall
2022-12-30 00:55:04,Drift Away,Dobie Gray
2022-12-30 00:58:39,Daisy Jane,America
2022-12-30 01:02:15,Sweet Freedom,Michael McDonald
2022-12-30 01:05:50,I'm Alright,Kenny Loggins
2022-12-30 01:08:13,Reminiscing,Little River Band
2022-12-30 01:11:50,You're No Good,Linda Ronstadt
2022-12-30 01:16:00,Do It Again,Steely Dan
2022-12-30 01:21:59,99,Toto
2022-12-30 01:27:24,What You Won't Do For Love,Bobby Caldwell
2022-12-30 01:31:35,On The Wing,Crackin'
2022-12-30 01:35:12,Still The One,Orleans
2022-12-30 01:40:00,Key Largo,Bertie Higgins
2022-12-30 01:42:22,So In To You,Atlanta Rhythm Section
2022-12-30 01:47:46,You Make Loving Fun,Fleetwood Mac
2022-12-30 01:50:10,All Right,Christopher Cross
2022-12-30 01:55:32,Breezin',George Benson
2022-12-30 01:59:44,Couldn't Get It Right,Climax Blues Band
2022-12-30 02:02:45,I Go Crazy,Paul Davis
2022-12-30 02:07:32,You Belong To Me,Doobie Brothers
2022-12-30 02:09:55,Heart Of The Night,Poco
2022-12-30 02:14:07,I Believe In Love,Kenny Loggins
2022-12-30 02:18:18,I'm Not In Love,10cc
2022-12-30 02:21:18,Escape (The Pina Colada Song),Rupert Holmes
2022-12-30 02:25:30,Caribbean Queen,Billy Ocean
2022-12-30 02:30:18,Biggest Part Of Me,Ambrosia
2022-12-30 02:33:19,Hello It's Me,Todd Rundgren
2022-12-30 02:36:56,Steal Away,Robbie Dupree
2022-12-30 02:40:32,Rock The Boat,Hues Corporation
