time_stamp,song,artist
2023-01-03 00:22:03,Every Kinda People,Robert Palmer
2023-01-03 00:23:48,Baby Come Back,Player
2023-01-03 00:26:12,"Sail On, Sailor",Beach Boys
2023-01-03 00:30:21,Brandy (You're A Fine Girl),Looking Glass
2023-01-03 00:33:18,Ride Captain Ride,Blues Image
2023-01-03 00:36:53,How Much I Feel,Ambrosia
2023-01-03 00:41:39,Georgy Porgy,Toto/Cheryl Lynn
2023-01-03 00:47:01,Any Major Dude Will Tell You,Steely Dan
2023-01-03 00:49:59,Dreadlock Holiday,10cc
2023-01-03 00:54:44,Yah-Mo Be There,James Ingram
2023-01-03 00:58:19,I'm Alright,Kenny Loggins
2023-01-03 01:00:41,One Of These Nights,Eagles
2023-01-03 01:06:38,Love Will Find A Way,Pablo Cruise
2023-01-03 01:09:36,Kiss On My List,Daryl Hall/John Oates
2023-01-03 01:14:20,On And On,Stephen Bishop
2023-01-03 01:16:08,Rhiannon,Fleetwood Mac
2023-01-03 01:21:28,"Who's Right, Who's Wrong?",Pages
2023-01-03 01:24:27,You Can Do Magic,America
2023-01-03 01:29:12,Sexy Eyes,Dr. Hook
2023-01-03 01:32:12,Diamond Girl,Seals/Crofts
2023-01-03 01:35:45,Just Another Day In Paradise,Bertie Higgins
2023-01-03 01:38:43,Jackie Blue,Ozark Mountain Daredevils
2023-01-03 01:42:53,Jojo,Boz Scaggs
2023-01-03 01:47:38,Lotta Love,Nicolette Larson
2023-01-03 01:52:25,Cool Change,Little River Band
2023-01-03 01:55:24,Deacon Blues,Steely Dan
2023-01-03 02:03:08,All Night Long (All Night),Lionel Richie
2023-01-03 02:06:41,What A Fool Believes,Doobie Brothers
2023-01-03 02:10:16,What a Fool Believes,Doobie Brothers
2023-01-03 02:15:00,All Right,Christopher Cross
2023-01-03 02:19:11,WKRP In Cincinnati (Main Theme),Steve Carlisle
2023-01-03 02:20:58,Please Come To Boston,Dave Loggins
2023-01-03 02:25:43,You Make Loving Fun,Fleetwood Mac
2023-01-03 02:29:16,Right Down The Line,Gerry Rafferty
2023-01-03 02:32:49,How 'Bout Us,Champaign
2023-01-03 02:35:47,She's Gone,Daryl Hall/John Oates
2023-01-03 02:39:21,It's Too Late,Carole King
2023-01-03 02:44:06,All Out Of Love,Air Supply
2023-01-03 02:48:17,Thunder Island,Jay Ferguson
2023-01-03 02:50:41,Magic,Olivia Newton-John
2023-01-03 02:55:27,Escape (The Pina Colada Song),Rupert Holmes
2023-01-03 02:58:58,Year Of The Cat,Al Stewart
2023-01-03 03:03:45,You're The Only Woman,Ambrosia
2023-01-03 03:09:04,Ventura Highway,America
2023-01-03 03:12:04,Show And Tell,Al Wilson
2023-01-03 03:15:38,Peg,Steely Dan
2023-01-03 03:18:37,You Make Me Feel Like Dancing,Leo Sayer
2023-01-03 03:21:35,Sweet Freedom,Michael McDonald
2023-01-03 03:25:44,"Baby, What A Big Surprise",Chicago
2023-01-03 03:29:17,"Whenever I Call You ""Friend""",Kenny Loggins/Stevie Nicks
2023-01-03 03:33:27,Rich Girl,Daryl Hall/John Oates
2023-01-03 03:34:03,Coconut,Harry Nilsson
2023-01-03 03:38:49,Give Me the Night,George Benson
2023-01-03 03:41:47,Keep On Loving You,REO Speedwagon
2023-01-03 03:44:47,Make It With You,Bread
2023-01-03 03:47:46,Feels So Good,Chuck Mangione
2023-01-03 03:51:20,Dream Weaver,Gary Wright
2023-01-03 03:56:06,Mistress of Mine,Little River Band
2023-01-03 04:01:28,Arthur's Theme,Christopher Cross
2023-01-03 04:05:37,Him,Rupert Holmes
2023-01-03 04:09:12,You Are The Woman,Firefall
2023-01-03 04:11:00,Take It Uptown,Bill Champlin
2023-01-03 04:16:19,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2023-01-03 04:18:06,Daisy Jane,America
2023-01-03 04:21:04,Just The Two Of Us,Grover Washington Jr.
2023-01-03 04:26:25,You're No Good,Linda Ronstadt
2023-01-03 04:29:25,You Belong To Me,Doobie Brothers
2023-01-03 04:32:25,Even The Nights Are Better,Air Supply
2023-01-03 04:35:23,Do It Again,Steely Dan
2023-01-03 04:41:57,Heart Of The Night,Poco
2023-01-03 04:46:42,Still The One,Orleans
2023-01-03 04:49:41,Sail On,Commodores
2023-01-03 04:53:49,So In To You,Atlanta Rhythm Section
2023-01-03 04:58:35,Hello It's Me,Todd Rundgren
2023-01-03 05:00:57,Couldn't Get It Right,Climax Blues Band
2023-01-03 05:04:31,The Things We Do For Love,10cc
2023-01-03 05:08:40,Route 101,Herb Alpert
2023-01-03 05:12:15,I Believe In Love,Kenny Loggins
2023-01-03 05:14:37,I Really Don't Know Anymore,Christopher Cross
2023-01-03 05:18:47,Biggest Part Of Me,Ambrosia
2023-01-03 05:22:21,Steal Away,Robbie Dupree
2023-01-03 05:25:57,Nights Are Forever Without You,E.Dan/J.F.Coley
2023-01-03 05:28:55,How Long,Ace
2023-01-03 05:31:54,Yacht Rock Radio, 
2023-01-03 05:33:42,Summer Breeze,Seals/Crofts
2023-01-03 05:39:39,Cool Night,Paul Davis
2023-01-03 05:42:38,Best Of My Love,Eagles
2023-01-03 05:47:58,Listen To The Music,Doobie Brothers
2023-01-03 05:50:21,Hey Nineteen,Steely Dan
2023-01-03 05:55:43,Spooky,Atlanta Rhythm Section
2023-01-03 06:00:29,Amie,Pure Prairie League
2023-01-03 06:05:15,Magnet And Steel,Walter Egan
2023-01-03 06:08:13,Baker Street,Gerry Rafferty
2023-01-03 06:12:59,Baker Street,Gerry Rafferty
