time_stamp,song,artist
2023-01-04 23:09:28,Cool Change,Little River Band
2023-01-04 23:10:03,,Little River Band
2023-01-04 23:10:39,Cool Change,Little River Band
2023-01-04 23:11:14,,Little River Band
2023-01-04 23:11:54,Cool Change,Little River Band
2023-01-04 23:13:46,A Horse With No Name,America
2023-01-04 23:16:52,I Just Wanna Stop,Gino Vanelli
2023-01-04 23:20:31,Feels So Good,Chuck Mangione
2023-01-04 23:24:49,Deacon Blues,Steely Dan
2023-01-04 23:32:52,Nights Are Forever Without You,E.Dan/J.F.Coley
2023-01-04 23:34:05,Yah-Mo Be There,James Ingram
2023-01-04 23:35:54,,James Ingram
2023-01-04 23:36:32,Yah-Mo Be There,James Ingram
2023-01-04 23:37:46,Hello It's Me,Todd Rundgren
2023-01-04 23:42:43,Ride Like The Wind,Christopher Cross
2023-01-04 23:46:22,Even The Nights Are Better,Air Supply
2023-01-04 23:50:04,How Much I Feel,Ambrosia
2023-01-04 23:54:22,Dreadlock Holiday,10cc
2023-01-04 23:58:39,Georgy Porgy,Toto/Cheryl Lynn
2023-01-05 00:04:08,Caribbean Queen,Billy Ocean
2023-01-05 00:08:25,Arthur's Theme,Christopher Cross
2023-01-05 00:11:29,Somebody's Baby,Jackson Browne
2023-01-05 00:15:39,Just The Two Of Us,Grover Washington Jr.
2023-01-05 00:19:45,Devil Woman,Cliff Richard
2023-01-05 00:22:42,Just Remember I Love You,Firefall
2023-01-05 00:26:13,Straight Back,Fleetwood Mac
2023-01-05 00:30:21,Still The One,Orleans
2023-01-05 00:35:03,Rock The Boat,Hues Corporation
2023-01-05 00:37:23,Rich Girl,Daryl Hall/John Oates
2023-01-05 00:39:46,Method Of Modern Love,Daryl Hall/John Oates
2023-01-05 00:43:52,Diamond Girl,Seals/Crofts
2023-01-05 00:47:22,We're In This Love Together,Al Jarreau
2023-01-05 00:50:55,Jojo,Boz Scaggs
2023-01-05 00:57:23,When You're In Love With..,Dr. Hook
2023-01-05 01:00:19,You Belong To Me,Doobie Brothers
2023-01-05 01:03:16,On And On,Stephen Bishop
2023-01-05 01:06:12,Cool Change,Little River Band
2023-01-05 01:09:44,Just Another Day In Paradise,Bertie Higgins
2023-01-05 01:14:26,Do It Again,Steely Dan
2023-01-05 01:18:31,99,Toto
