time_stamp,song,artist
2022-12-26 11:26:13,Love Will Find A Way,Pablo Cruise
2022-12-26 11:27:23,Still The One,Orleans
2022-12-26 11:31:33,WKRP In Cincinnati (Main Theme),Steve Carlisle
2022-12-26 11:35:09,One Of These Nights,Eagles
2022-12-26 11:38:45,Magic,Olivia Newton-John
2022-12-26 11:42:19,You Can Do Magic,America
2022-12-26 11:47:05,Please Come To Boston,Dave Loggins
2022-12-26 11:51:51,Biggest Part Of Me,Ambrosia
2022-12-26 11:54:13,Here To Love You,Doobie Brothers
2022-12-26 11:58:57,Year Of The Cat,Al Stewart
2022-12-26 12:04:53,Him,Rupert Holmes
2022-12-26 12:08:27,Any Major Dude Will Tell You,Steely Dan
2022-12-26 12:10:50,Coconut,Harry Nilsson
2022-12-26 12:14:25,Ride Like The Wind,Christopher Cross
2022-12-26 12:19:10,Feels So Good,Chuck Mangione
2022-12-26 12:21:34,Yah-Mo Be There,James Ingram
2022-12-26 12:26:21,Beautiful Child,Fleetwood Mac
2022-12-26 12:31:06,How Much I Feel,Ambrosia
2022-12-26 12:37:03,Afternoon Delight,Starland Vocal Band
2022-12-26 12:39:26,Right Down The Line,Gerry Rafferty
2022-12-26 12:43:00,Hello It's Me,Todd Rundgren
2022-12-26 12:46:33,Cool Change,Little River Band
2022-12-26 12:50:42,Rock The Boat,Hues Corporation
2022-12-26 12:54:18,Kiss On My List,Daryl Hall/John Oates
2022-12-26 12:57:52,Vahevala,Loggins/Messina
2022-12-26 13:02:41,All Out Of Love,Air Supply
2022-12-26 13:06:16,Dreadlock Holiday,10cc
2022-12-26 13:11:04,Peg,Steely Dan
2022-12-26 13:15:13,I'll Be Over You,Toto
2022-12-26 13:18:11,Give Me the Night,George Benson
2022-12-26 13:21:45,Cool Night,Paul Davis
2022-12-26 13:24:45,Make It With You,Bread
2022-12-26 13:28:22,Route 101,Herb Alpert
2022-12-26 13:31:56,Listen To The Music,Doobie Brothers
2022-12-26 13:34:20,Sail On,Commodores
2022-12-26 13:39:07,Lido Shuffle,Boz Scaggs
2022-12-26 13:42:40,You're The Only Woman,Ambrosia
2022-12-26 13:47:27,Better Love Next Time,Dr. Hook
2022-12-26 13:50:26,Dream Weaver,Gary Wright
2022-12-26 13:54:00,Arthur's Theme,Christopher Cross
2022-12-26 13:57:33,You Are The Woman,Firefall
2022-12-26 14:00:31,I Can't Go For That (No Can Do),Hall/Oates
2022-12-26 14:04:41,I.G.Y.,Donald Fagen
2022-12-26 14:10:39,"Whenever I Call You ""Friend""",Kenny Loggins/Stevie Nicks
2022-12-26 14:14:12,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2022-12-26 14:16:35,Just The Two Of Us,Grover Washington Jr.
2022-12-26 14:20:11,Even The Nights Are Better,Air Supply
2022-12-26 14:24:56,Reminiscing,Little River Band
2022-12-26 14:27:18,Georgy Porgy,Toto/Cheryl Lynn
2022-12-26 14:33:16,Takin' It To The Streets,Doobie Brothers
2022-12-26 14:35:39,Drift Away,Dobie Gray
2022-12-26 14:40:24,Key Largo,Bertie Higgins
2022-12-26 14:42:47,What You Won't Do For Love,Bobby Caldwell
2022-12-26 14:47:32,I Go Crazy,Paul Davis
2022-12-26 14:51:42,One Of These Nights,Eagles
2022-12-26 14:55:52,Never Be The Same,Christopher Cross
2022-12-26 15:00:38,Just Remember I Love You,Firefall
2022-12-26 15:04:48,I'm Alright,Kenny Loggins
2022-12-26 15:07:46,You Make Loving Fun,Fleetwood Mac
2022-12-26 15:11:20,Breezin',George Benson
2022-12-26 15:16:06,I'm Not In Love,10cc
2022-12-26 15:20:51,She's Gone,Daryl Hall/John Oates
2022-12-26 15:23:13,"Who's Right, Who's Wrong?",Pages
2022-12-26 15:27:58,Baby Come Back,Player
2022-12-26 15:31:30,Caribbean Queen,Billy Ocean
2022-12-26 15:35:03,You Can Do Magic,America
2022-12-26 15:38:34,99,Toto
2022-12-26 15:43:17,What A Fool Believes,Doobie Brothers
2022-12-26 15:47:24,Home At Last,Steely Dan
2022-12-26 15:53:19,Still The One,Orleans
2022-12-26 15:56:52,Can We Still Be Friends?,Robert Palmer
2022-12-26 16:01:36,So In To You,Atlanta Rhythm Section
2022-12-26 16:03:58,Devil Woman,Cliff Richard
2022-12-26 16:07:31,All Right,Christopher Cross
2022-12-26 16:12:13,Show And Tell,Al Wilson
2022-12-26 16:15:48,You Make My Dreams Come True,Hall and Oates
2022-12-26 16:19:19,You Make Me Feel Like Dancing,Leo Sayer
2022-12-26 16:21:41,Rhiannon,Fleetwood Mac
2022-12-26 16:26:24,Take It Uptown,Bill Champlin
2022-12-26 16:30:32,Sister Golden Hair,America
2022-12-26 16:32:55,How 'Bout Us,Champaign
2022-12-26 16:36:28,Couldn't Get It Right,Climax Blues Band
2022-12-26 16:40:02,We're In This Love Together,Al Jarreau
2022-12-26 16:42:24,I Believe In Love,Kenny Loggins
2022-12-26 16:45:56,"My Girl (Gone, Gone, Gone)",Chilliwack
2022-12-26 16:50:41,Escape (The Pina Colada Song),Rupert Holmes
2022-12-26 16:54:48,On And On,Stephen Bishop
2022-12-26 16:57:45,Sexy Eyes,Dr. Hook
2022-12-26 17:00:06,Sweet Freedom,Michael McDonald
2022-12-26 17:03:41,Thunder Island,Jay Ferguson
2022-12-26 17:08:59,Do It Again,Steely Dan
2022-12-26 17:13:44,Biggest Part Of Me,Ambrosia
2022-12-26 17:18:27,I Really Don't Know Anymore,Christopher Cross
2022-12-26 17:22:01, ,
2022-12-26 17:23:11,Steal Away,Robbie Dupree
2022-12-26 17:24:22,It's Too Late,Carole King
2022-12-26 17:29:06,I Can't Go For That (No Can Do),Hall/Oates
2022-12-26 17:32:40,Keep On Loving You,REO Speedwagon
2022-12-26 17:36:47,Coconut,Harry Nilsson
2022-12-26 17:40:19,Ventura Highway,America
2022-12-26 17:43:52,How Long,Ace
2022-12-26 17:47:28,Feels So Good,Chuck Mangione
2022-12-26 17:51:00,This Is It,Kenny Loggins
2022-12-26 17:54:31,Nights Are Forever Without You,E.Dan/J.F.Coley
2022-12-26 17:56:53,Africa,Toto
2022-12-26 18:00:26,Everywhere,Fleetwood Mac
2022-12-26 18:05:10,Key Largo,Bertie Higgins
2022-12-26 18:08:08,I Keep Forgettin' (82),Michael McDonald
2022-12-26 18:11:41,Deacon Blues,Steely Dan
2022-12-26 18:18:48,Baby I'm A Want You,Bread
2022-12-26 18:22:21,Jackie Blue,Ozark Mountain Daredevils
2022-12-26 18:25:19,Georgia,Boz Scaggs
2022-12-26 18:28:51,I Go Crazy,Paul Davis
2022-12-26 18:32:58,Summer Breeze,Seals/Crofts
2022-12-26 18:36:31,Breezin',George Benson
2022-12-26 18:41:50,Heart To Heart,Kenny Loggins
2022-12-26 18:46:34,Amie,Pure Prairie League
2022-12-26 18:51:55,Spooky,Atlanta Rhythm Section
2022-12-26 18:55:30,Baker Street,Gerry Rafferty
2022-12-26 19:02:01,A Horse With No Name,America
2022-12-26 19:06:09,Ride Like The Wind,Christopher Cross
2022-12-26 19:10:16,Georgy Porgy,Toto/Cheryl Lynn
2022-12-26 19:14:59,Cool Change,Little River Band
2022-12-26 19:18:35,January,Pilot
2022-12-26 19:21:34,Listen To The Music,Doobie Brothers
2022-12-26 19:26:17,Heart Of The Night,Poco
2022-12-26 19:31:02,All Out Of Love,Air Supply
2022-12-26 19:35:09,I Love You,Climax Blues Band
2022-12-26 19:38:42,Peg,Steely Dan
2022-12-26 19:42:50,I Gotta Try,Michael McDonald
2022-12-26 19:45:48,Lowdown,Boz Scaggs
2022-12-26 19:52:19,You Make Loving Fun,Fleetwood Mac
2022-12-26 19:55:52,You're The Only Woman,Ambrosia
2022-12-26 20:00:01,You're No Good,Linda Ronstadt
2022-12-26 20:02:24,Right Down The Line,Gerry Rafferty
2022-12-26 20:05:58,I'm Not In Love,10cc
2022-12-26 20:10:09,Kiss On My List,Daryl Hall/John Oates
