time_stamp,song,artist
2022-12-27 00:13:34,Year Of The Cat,Al Stewart
2022-12-27 00:17:09,Sister Golden Hair,America
2022-12-27 00:18:56,Coconut,Harry Nilsson
2022-12-27 00:23:08,Just Remember I Love You,Firefall
2022-12-27 00:26:07,What Makes You Think You're The One,Fleetwood Mac
2022-12-27 00:29:43,Sweet Freedom,Michael McDonald
2022-12-27 00:33:19,Into The Night,Benny Mardones
2022-12-27 00:38:04,Dream Weaver,Gary Wright
2022-12-27 00:42:50,Even The Nights Are Better,Air Supply
2022-12-27 00:45:14,Reminiscing,Little River Band
2022-12-27 00:48:49,Dreadlock Holiday,10cc
2022-12-27 00:53:33,Do It Again,Steely Dan
2022-12-27 00:59:31,Danny's Song,Loggins/Messina
2022-12-27 01:03:05,You Make My Dreams Come True,Hall and Oates
2022-12-27 01:06:40,Wildfire,Michael Martin Murphey
2022-12-27 01:09:03,What You Won't Do For Love,Bobby Caldwell
2022-12-27 01:15:37,Love Will Find A Way,Pablo Cruise
2022-12-27 01:18:36,Escape (The Pina Colada Song),Rupert Holmes
2022-12-27 01:20:59,Can We Still Be Friends?,Robert Palmer
2022-12-27 01:25:45,Ventura Highway,America
2022-12-27 01:29:20,Ride Captain Ride,Blues Image
2022-12-27 01:32:54,You Are The Woman,Firefall
2022-12-27 01:35:18,Route 101,Herb Alpert
2022-12-27 01:38:52,Somebody's Baby,Jackson Browne
2022-12-27 01:42:30,Listen To The Music,Doobie Brothers
2022-12-27 01:46:06,Cool Night,Paul Davis
2022-12-27 01:49:41,How Long,Ace
2022-12-27 01:52:04,Africa,Toto
2022-12-27 01:56:49,Magnet And Steel,Walter Egan
2022-12-27 02:00:23,Baby I'm A Want You,Bread
2022-12-27 02:02:45,Moonlight Feels Right,Starbuck
2022-12-27 02:06:18,Dirty Work,Steely Dan
2022-12-27 02:08:42,Drift Away,Dobie Gray
2022-12-27 02:13:27,Key Largo,Bertie Higgins
2022-12-27 02:15:51,Georgia,Boz Scaggs
2022-12-27 02:19:25,All Right,Christopher Cross
2022-12-27 02:24:10,Thunder Island,Jay Ferguson
2022-12-27 02:27:46,This Is It,Kenny Loggins
2022-12-27 02:32:32,Breezin',George Benson
2022-12-27 02:37:18,Sara Smile,Daryl Hall/John Oates
2022-12-27 02:40:55,Heart Of The Night,Poco
2022-12-27 02:44:29,I Go Crazy,Paul Davis
2022-12-27 02:49:15,Yah-Mo Be There,James Ingram
2022-12-27 02:52:49,I'm Not In Love,10cc
2022-12-27 02:57:34,I Just Wanna Stop,Gino Vanelli
2022-12-27 03:01:07,Rosanna,Toto
2022-12-27 03:04:42,I Love You,Climax Blues Band
2022-12-27 03:09:28,I Can't Tell You Why,Eagles
2022-12-27 03:13:02,Oriental Gate,Sanford Townsend Band
2022-12-27 03:16:36,Any Major Dude Will Tell You,Steely Dan
2022-12-27 03:18:59,Caribbean Queen,Billy Ocean
2022-12-27 03:23:46,Vahevala,Loggins/Messina
2022-12-27 03:28:31,Sailing,Christopher Cross
2022-12-27 03:32:06,Keep On Loving You,REO Speedwagon
2022-12-27 03:35:42,Dance With Me,Orleans
2022-12-27 03:38:05,Feels So Good,Chuck Mangione
2022-12-27 03:42:52,Kiss On My List,Daryl Hall/John Oates
2022-12-27 03:46:25,When You're In Love With..,Dr. Hook
2022-12-27 03:49:59,Cool Change,Little River Band
2022-12-27 03:53:33,Why I Came To California,Leon Ware
2022-12-27 03:57:08,What A Fool Believes,Doobie Brothers
2022-12-27 04:00:43,Nights Are Forever Without You,E.Dan/J.F.Coley
2022-12-27 04:04:19,Right Down The Line,Gerry Rafferty
2022-12-27 04:07:53,Georgy Porgy,Toto/Cheryl Lynn
2022-12-27 04:12:39,Rhiannon,Fleetwood Mac
2022-12-27 04:17:24,Rock The Boat,Hues Corporation
2022-12-27 04:19:44,One Of These Nights,Eagles
2022-12-27 04:24:29,Whatcha Gonna Do,Pablo Cruise
2022-12-27 04:28:02,Hey Nineteen,Steely Dan
2022-12-27 04:31:38,We're In This Love Together,Al Jarreau
2022-12-27 04:36:21,I Can't Go For That (No Can Do),Hall/Oates
2022-12-27 04:39:54,"My Girl (Gone, Gone, Gone)",Chilliwack
2022-12-27 04:43:28,Make It With You,Bread
2022-12-27 04:45:49,Every Kinda People,Robert Palmer
2022-12-27 04:49:23,Dream Weaver,Gary Wright
2022-12-27 04:54:07,On And On,Stephen Bishop
2022-12-27 04:57:42,Arthur's Theme,Christopher Cross
2022-12-27 05:00:04,A Horse With No Name,America
2022-12-27 05:04:48,Better Love Next Time,Dr. Hook
2022-12-27 05:08:20,I Keep Forgettin' (82),Michael McDonald
2022-12-27 05:10:44,Just Another Day In Paradise,Bertie Higgins
2022-12-27 05:15:28,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2022-12-27 05:17:50,You Are The Woman,Firefall
2022-12-27 05:20:11,Lotta Love,Nicolette Larson
2022-12-27 05:23:43,Dreams,Fleetwood Mac
2022-12-27 05:27:17,I'll Be Over You,Toto
2022-12-27 05:32:02,You Make My Dreams Come True,Hall and Oates
2022-12-27 05:34:24,Jackie Blue,Ozark Mountain Daredevils
2022-12-27 05:37:58,Sail On,Commodores
2022-12-27 05:41:31,Peg,Steely Dan
2022-12-27 05:45:03,Just The Two Of Us,Grover Washington Jr.
2022-12-27 05:49:49,WKRP In Cincinnati (Main Theme),Steve Carlisle
2022-12-27 05:52:11,So In To You,Atlanta Rhythm Section
2022-12-27 05:56:55,Please Come To Boston,Dave Loggins
2022-12-27 06:01:40,All Right,Christopher Cross
2022-12-27 06:05:14,Sexy Eyes,Dr. Hook
2022-12-27 06:07:36,Show And Tell,Al Wilson
2022-12-27 06:11:10,You Belong To Me,Doobie Brothers
2022-12-27 06:14:45,You Make Me Feel Like Dancing,Leo Sayer
2022-12-27 06:17:07,Couldn't Get It Right,Climax Blues Band
2022-12-27 06:20:40,This Is It,Kenny Loggins
2022-12-27 06:24:14,Him,Rupert Holmes
2022-12-27 06:28:57,You Make Loving Fun,Fleetwood Mac
2022-12-27 06:31:20,How 'Bout Us,Champaign
2022-12-27 06:34:53,She's Gone,Daryl Hall/John Oates
2022-12-27 06:38:28,All Night Long (All Night),Lionel Richie
2022-12-27 06:42:05,Thunder Island,Jay Ferguson
2022-12-27 06:46:53,Deacon Blues,Steely Dan
2022-12-27 06:54:27,It's Too Late,Carole King
2022-12-27 06:57:39,Dance With Me,Orleans
2022-12-27 07:01:14,"Baby, What A Big Surprise",Chicago
2022-12-27 07:03:36,Steal Away,Robbie Dupree
2022-12-27 07:07:10,Never Be The Same,Christopher Cross
2022-12-27 07:10:45,How Long,Ace
2022-12-27 07:14:18,Kamikaze,Ambrosia
2022-12-27 07:19:03,Africa,Toto
2022-12-27 07:22:37,Daisy Jane,America
2022-12-27 07:26:09,Baby I'm A Want You,Bread
2022-12-27 07:27:20,Heart To Heart,Kenny Loggins
2022-12-27 07:33:32,Georgia,Boz Scaggs
2022-12-27 07:37:12,Spooky,Atlanta Rhythm Section
2022-12-27 07:41:56,Summer Breeze,Seals/Crofts
2022-12-27 07:46:39,Keep On Loving You,REO Speedwagon
2022-12-27 07:49:00,Rich Girl,Daryl Hall/John Oates
2022-12-27 07:51:22,Coconut,Harry Nilsson
2022-12-27 07:55:30,Do It Again,Steely Dan
2022-12-27 08:01:24,Feels So Good,Chuck Mangione
2022-12-27 08:04:20,Listen To The Music,Doobie Brothers
2022-12-27 08:08:29,Nights Are Forever Without You,E.Dan/J.F.Coley
2022-12-27 08:10:16,Amie,Pure Prairie League
2022-12-27 08:15:37,Even The Nights Are Better,Air Supply
2022-12-27 08:19:11,Baker Street,Gerry Rafferty
2022-12-27 08:25:07,Southern Cross,"Crosby, Stills & Nash"
2022-12-27 08:29:16,Dreadlock Holiday,10cc
2022-12-27 08:35:11,Sailing,Christopher Cross
2022-12-27 08:38:09,What a Fool Believes,Doobie Brothers
2022-12-27 08:42:19,I Just Wanna Stop,Gino Vanelli
2022-12-27 08:46:27,Rosanna,Toto
2022-12-27 08:49:25,Love Will Find A Way,Pablo Cruise
2022-12-27 08:53:33,I Can't Tell You Why,Eagles
2022-12-27 08:58:18,Moonlight Feels Right,Starbuck
2022-12-27 09:02:26,Dirty Work,Steely Dan
2022-12-27 09:04:14,Ride Captain Ride,Blues Image
2022-12-27 09:08:22,Drift Away,Dobie Gray
2022-12-27 09:11:56,Sara Smile,Daryl Hall/John Oates
2022-12-27 09:15:29,Yah-Mo Be There,James Ingram
2022-12-27 09:19:37,You're No Good,Linda Ronstadt
2022-12-27 09:23:10,Rhiannon,Fleetwood Mac
2022-12-27 09:27:18,Route 101,Herb Alpert
2022-12-27 09:31:25,Baby Come Back,Player
2022-12-27 09:34:23,Afternoon Delight,Starland Vocal Band
2022-12-27 09:37:21,Cool Night,Paul Davis
2022-12-27 09:41:30,Sister Golden Hair,America
2022-12-27 09:44:27,I Gotta Try,Michael McDonald
2022-12-27 09:47:24,Brandy (You're A Fine Girl),Looking Glass
2022-12-27 09:51:34,Diamond Girl,Seals/Crofts
2022-12-27 09:55:43,99,Toto
2022-12-27 10:00:26,Jojo,Boz Scaggs
2022-12-27 10:05:10,Sail On,Commodores
2022-12-27 10:09:56,Any Major Dude Will Tell You,Steely Dan
2022-12-27 10:13:30,Magnet And Steel,Walter Egan
2022-12-27 10:15:53,You're Out To Lose,Pablo Cruise
2022-12-27 10:20:37,Kiss On My List,Daryl Hall/John Oates
2022-12-27 10:23:00,Key Largo,Bertie Higgins
2022-12-27 10:26:34,I Keep Forgettin' (82),Michael McDonald
2022-12-27 10:30:09,Heart Of The Night,Poco
2022-12-27 10:34:55,Cool Change,Little River Band
2022-12-27 10:38:28,Everywhere,Fleetwood Mac
2022-12-27 10:42:02,Right Down The Line,Gerry Rafferty
2022-12-27 10:45:37,Here,America
2022-12-27 10:51:35,You're The Only Woman,Ambrosia
2022-12-27 10:55:08,I Go Crazy,Paul Davis
2022-12-27 10:59:53,All Out Of Love,Air Supply
2022-12-27 11:03:26,Georgy Porgy,Toto/Cheryl Lynn
2022-12-27 11:08:11,Give Me the Night,George Benson
2022-12-27 11:11:44,I'm Not In Love,10cc
2022-12-27 11:16:25,Rich Girl,Daryl Hall/John Oates
2022-12-27 11:18:47,Oriental Gate,Sanford Townsend Band
2022-12-27 11:21:11,Peg,Steely Dan
2022-12-27 11:25:56,"Who's Right, Who's Wrong?",Pages
2022-12-27 11:29:30,Sweet Freedom,Michael McDonald
2022-12-27 11:33:02,"Whenever I Call You ""Friend""",Kenny Loggins/Stevie Nicks
2022-12-27 11:36:36,Make It With You,Bread
2022-12-27 11:41:22,I Love You,Climax Blues Band
2022-12-27 11:44:56,Dream Weaver,Gary Wright
2022-12-27 11:48:29,Lido Shuffle,Boz Scaggs
2022-12-27 11:52:03,Arthur's Theme,Christopher Cross
2022-12-27 11:55:36,Hello It's Me,Todd Rundgren
2022-12-27 11:59:09,Caribbean Queen,Billy Ocean
2022-12-27 12:03:52,All Right,Christopher Cross
2022-12-27 12:07:25,Just Another Day In Paradise,Bertie Higgins
2022-12-27 12:10:59,Biggest Part Of Me,Ambrosia
2022-12-27 12:15:44,Lotta Love,Nicolette Larson
2022-12-27 12:19:18,Dirty Work,Steely Dan
2022-12-27 12:21:40,Sexy Eyes,Dr. Hook
2022-12-27 12:25:14,Best Of My Love,Eagles
2022-12-27 12:30:00,How Long,Ace
2022-12-27 12:32:21,A Horse With No Name,America
2022-12-27 12:37:07,Africa,Toto
2022-12-27 12:40:39,I Believe In Love,Kenny Loggins
