time_stamp,song,artist
2022-12-31 00:19:39,Take It Uptown,Bill Champlin
2022-12-31 00:20:50,Listen To The Music,Doobie Brothers
2022-12-31 00:23:15,Best Of My Love,Eagles
2022-12-31 00:27:27,How 'Bout Us,Champaign
2022-12-31 00:31:04,This Is It,Kenny Loggins
2022-12-31 00:35:14,Thunder Island,Jay Ferguson
2022-12-31 00:39:26,Escape (The Pina Colada Song),Rupert Holmes
2022-12-31 00:43:38,Biggest Part Of Me,Ambrosia
2022-12-31 00:47:49,It's Too Late,Carole King
2022-12-31 00:51:23,Dirty Work,Steely Dan
2022-12-31 00:53:47,I Really Don't Know Anymore,Christopher Cross
2022-12-31 00:58:32,Steal Away,Robbie Dupree
2022-12-31 01:02:07,Lido Shuffle,Boz Scaggs
2022-12-31 01:05:07,The Things We Do For Love,10cc
2022-12-31 01:08:43,How Long,Ace
2022-12-31 01:12:20,She's Gone,Daryl Hall/John Oates
2022-12-31 01:14:43,Keep On Loving You,REO Speedwagon
2022-12-31 01:18:20,Rhiannon,Fleetwood Mac
2022-12-31 01:22:32,Coconut,Harry Nilsson
2022-12-31 01:25:30,I Keep Forgettin' (82),Michael McDonald
2022-12-31 01:30:17,Feels So Good,Chuck Mangione
2022-12-31 01:32:40,Jackie Blue,Ozark Mountain Daredevils
2022-12-31 01:36:17,Cool Change,Little River Band
2022-12-31 01:40:28,Love Has Come Of Age,Kenny Loggins
2022-12-31 01:45:15,Right Down The Line,Gerry Rafferty
2022-12-31 01:48:51,All Out Of Love,Air Supply
2022-12-31 01:52:26,Him,Rupert Holmes
2022-12-31 01:56:03,You're The Only Woman,Ambrosia
2022-12-31 02:00:49,Afternoon Delight,Starland Vocal Band
2022-12-31 02:03:49,Give Me the Night,George Benson
2022-12-31 02:07:25,Nights Are Forever Without You,E.Dan/J.F.Coley
2022-12-31 02:09:49,Georgy Porgy,Toto/Cheryl Lynn
2022-12-31 02:15:09,Hey Nineteen,Steely Dan
2022-12-31 02:19:21,Dreadlock Holiday,10cc
2022-12-31 02:24:40,Kiss On My List,Daryl Hall/John Oates
2022-12-31 02:27:38,Sail On,Commodores
2022-12-31 02:32:22,Yah-Mo Be There,James Ingram
2022-12-31 02:36:32,Gypsy,Fleetwood Mac
2022-12-31 02:40:04,Brandy (You're A Fine Girl),Looking Glass
2022-12-31 02:44:50,The Sad Cafe,Eagles
2022-12-31 02:48:57,Make It With You,Bread
2022-12-31 02:52:31,Danny's Song,Loggins/Messina
2022-12-31 02:56:39,Sister Golden Hair,America
2022-12-31 02:59:01,Ride Captain Ride,Blues Image
2022-12-31 03:03:45,Diamond Girl,Seals/Crofts
2022-12-31 03:07:52,Love Will Find A Way,Pablo Cruise
2022-12-31 03:11:27,Dream Weaver,Gary Wright
2022-12-31 03:15:00,Route 101,Herb Alpert
2022-12-31 03:18:32,Peg,Steely Dan
2022-12-31 03:22:08,Cool Night,Paul Davis
2022-12-31 03:25:41,Arthur's Theme,Christopher Cross
2022-12-31 03:33:22,Reminiscing,Little River Band
2022-12-31 03:36:20,Magnet And Steel,Walter Egan
2022-12-31 03:39:52,Jojo,Boz Scaggs
2022-12-31 03:45:49,Moonlight Feels Right,Starbuck
