time_stamp,song,artist
2023-01-04 08:28:41,I'd Really Love To See You Tonight,E.Dan/J.F.Coley
2023-01-04 08:29:54,The Things We Do For Love,10cc
2023-01-04 08:32:54,You Make Me Feel Like Dancing,Leo Sayer
2023-01-04 08:35:55,Sara Smile,Daryl Hall/John Oates
2023-01-04 08:38:53,Afternoon Delight,Starland Vocal Band
2023-01-04 08:41:15,Just The Two Of Us,Grover Washington Jr.
2023-01-04 08:46:01,Reminiscing,Little River Band
2023-01-04 08:48:59,You're No Good,Linda Ronstadt
2023-01-04 08:52:00,What You Won't Do For Love,Bobby Caldwell
2023-01-04 08:56:10,Heart To Heart,Kenny Loggins
2023-01-04 09:03:19,Dance With Me,Orleans
2023-01-04 09:05:08,Daisy Jane,America
2023-01-04 09:08:05,Him,Rupert Holmes
2023-01-04 09:12:50,Just Remember I Love You,Firefall
2023-01-04 09:16:26,Devil Woman,Cliff Richard
2023-01-04 09:18:50,Any Major Dude Will Tell You,Steely Dan
2023-01-04 09:21:51,Take It Uptown,Bill Champlin
2023-01-04 09:26:40,Africa,Toto
2023-01-04 09:30:50,Never Be The Same,Christopher Cross
2023-01-04 09:35:00,Baby I'm A Want You,Bread
2023-01-04 09:36:12,NICE NICE VERY NICE,AMBROSIA
2023-01-04 09:42:48,I Can't Go For That (No Can Do),Hall/Oates
2023-01-04 09:46:57,I'm Not In Love,10cc
2023-01-04 09:49:57,Georgia,Boz Scaggs
2023-01-04 09:54:04,How 'Bout Us,Champaign
2023-01-04 09:57:39,Yah-Mo Be There,James Ingram
2023-01-04 10:01:49,Love Has Come Of Age,Kenny Loggins
2023-01-04 10:06:01,You Make Loving Fun,Fleetwood Mac
2023-01-04 10:09:34,Thunder Island,Jay Ferguson
2023-01-04 10:13:07,Baby Come Back,Player
2023-01-04 10:16:42,It's Too Late,Carole King
2023-01-04 10:21:29,You Can Do Magic,America
2023-01-04 10:25:01,Keep On Loving You,REO Speedwagon
2023-01-04 10:27:25,Brandy (You're A Fine Girl),Looking Glass
2023-01-04 10:30:59,Coconut,Harry Nilsson
2023-01-04 10:33:55,Hey Nineteen,Steely Dan
2023-01-04 10:38:39,I Really Don't Know Anymore,Christopher Cross
2023-01-04 10:42:11,Cool Change,Little River Band
2023-01-04 10:46:56,Somebody's Baby,Jackson Browne
2023-01-04 10:50:29,Feels So Good,Chuck Mangione
2023-01-04 10:54:05,She's Gone,Daryl Hall/John Oates
2023-01-04 10:58:48,Nights Are Forever Without You,E.Dan/J.F.Coley
2023-01-04 11:01:45,You're The Only Woman,Ambrosia
2023-01-04 11:04:42,You Belong To Me,Doobie Brothers
2023-01-04 11:05:52,You Belong To Me,Doobie Brothers
